headword,definition
أضْرَى,أضرى الكلب بالصيد
أطيش,طائر بحري
أظن,أعتقد
أعلى الشيء,سَرَوَات
أعياد كبيرة,مَوَاسِمُ
أغنية شعبية,أغاني شعبية
أغَمَّ,أَحْزَنَ
أفتنَ,اِخْتَبَرَ
أفغاني,النقد الأفغاني
أفلاطون,فيلسوف يوناني قديم
أفيزيا فيرنيك,حبسة كلامية
أفْتَى,أَخْرَجَ فَتْوىً
أفْعَى,حيّة
أفْعَىحيّة,أفَاعٍ | الأَفاعِي
أقاقيا,شجر
أقرباء,أنسباء
أكابولكو,الْمِكْسِيك
أكبر مدن ولاية غوجارات,الهند
أكتينيوم,عنصر إشعاعي
أكروبوليس,أكْرُوبُولِس
أكروميسين,مضادّ حيويّ
أكسيد,أكاسيد
أكسيد الحديد,أكاسيد الحديد
أكورديون,آلة موسيقية
أكونيت,نبات
ألاء,نبات
ألاباما,الولايات المتحدة
ألاسكا,الولايات المتحدة
ألباني,ألبان
ألبرت آينشتاين,عالم في الفيزياء النظرية
ألبوكيركي,الولايات المتحدة
ألسامرة,القسم الشمالي من الضفة الغربية
ألغومتر,أداة لقياس الألم
ألف,حرف عربي
ألفا,أحد حروف الأبجدية الإغريقية
ألفريد نوبل,نوبل
ألماني,ألمان
ألومنيوم,ألمنيوم
ألَّبَ,حرّض
ألْف,ألُوف آلاَف
أم النور,مريم العذراء
أم قرفة,حيوان
أم كلثوم,مطربة مصرية
أمبير,كهرباء
أمثل,أَمَاثِل
أمريكي,أميركي
أمن المعلومات,الأمن المعلوماتي
أمنية,آرَاب إِرْبَة
أمون,آمون
أميبا,أميبات
أميباأميبات,أميبة
أمين,مادة كيماوية
أميّة,أمومة
أنابوليس,عاصمة ولاية ماريلاند
أناهييم,كاليفورنيا
أنتاركتيكا,أنتارتيكا
أنتاناناريفو,عاصمة مدغشقر
أنتولوجيا,انطولوجيا
أنتويرب,بلجيكا
أنتويربن,بلجيكا
أنثى,إِنَاث
أنجولا,أنغولا
أنجويلا,جزيرة في الكاريبي
أندروماك,زوجة هيكتور
أنديز,سلسلة جبال في أمريكا الجنوبية
أنسيلم,القديس أنسيلم
أنفرتاز,خميرة
أنقرة,عاصمة تركيا
أنقرةعاصمة تركيا,أنقره
أنوفيليس,بعوض الأجميّة
أنيسون,آنيسون
أنيميا,فقر الدم
أنيون,ايون سالب الشحنة
أنْتَ,أنْتِ
أنْتُمْ,أنتُنَّ
أهمية,أَوْزَان
أوبونتو,توزيعة لينكس | فلسفة أفريقية إنسانية | فلسفة أفريقية إنسانية
أود,تعب | إعالة
أوديسا,أوكرانيا
أور,سومر
أورليانز,فرنسا
أورومتشي,الـصين
أوريغون,الولايات المتحدة
أوستراليا,بلد في نصف الكرة الجنوبي
أوسيلسكوب,جهاز راسم الذبذبات
أوشفيتس,معسكر إبادة
أوطف,كثير شعر الحاجبين
أوكسيتوسين,هرمون
أوكلاهوما,الولايات المتحدة
أولان باتور,عاصمة منغوليا
أوما,أيرلندا الشمالية
أوهايو,الولايات المتحدة
أوَان,آوِنَة | فصل
أوْطَاد,جبال
أيداهو,الولايات المتحدة
أيك,أيكة
أيون,أيونات
أيّل,أيَائِل
أَب,آبَاء
أَبَاحَ,السِّرَّ | سمح
أَبَادَ,أبِدْ
أَبَد,آبَاد
أَبَهَ,أَبْه
أَبْتَر,بلا ذنب | بلا عقب | بُتْر | بُتْربَتْراء
أَبْتَربلا ذنب,بُتْربَتْراء
أَبْتَربلا عقب,بُتْربَتْراء
أَبْرَأَ,شَفَى | جعله بَرِيئاً أو خالصاً من | شَفَى
أَبْقَى,في المكان
أَبْقَى على,فلان | الشيء | الشيء
أَبْقَىفي المكانأَبْقِ,إبقاء
أَبْقِ,إبقاء
أَبْكَى,إبْكَاء
أَبْلَج,بُلْج | بُلْجبَلْجَاء
أَبْلَه,بُلْه | بُلْهبَلْهَاءُ
أَبْلَى,أبل
أَبْيَض,بريء | بِيض | مشرق | غير مكتوب
أَتَمَّ,أَتْمِمْ
أَتْلَعَ,مدَّ عنقه
أَثَارَة,بقية
أَثَر,وقع | تأثير | علامة | آثَار | نتيجة | تأثيرآثَار | علامةآثَار | نتيجةآثَار
أَثَروقع,آثَار
أَثَرَة,أنانية | تفضيل | تفضيل
أَثِير,مكرم
أَثِيم,أُثَمَاء
أَجَدَّ,كانَ جادًّا
أَجَل,وقت الموت | مدة | استحقاق
أَجَلاستحقاق,آجَال
أَجَلمدة,آجَال
أَجَلوقت الموت,آجَال
أَجَلَّ,اعتبر
أَجَلْ,نعم
أَجَمَة,آجَام أَجَم أَجَمَات | آجَام | أَجَم | أَجَمَات
أَجُرَّة,آجُرّ
أَجِير,أُجَرَاءُ
أَجْدَاد جُدُود,جَدَّة
أَجْدَب,جُدْب | جُدْبجَدْبَاءُ
أَجْدَل,أَجَادِلُ
أَجْر,ثواب مكافأة | راتب | أتعاب | أتعابأُجُور
أَجْرَد,لا نبت فيه | بالٍ | لا شعر عليه
أَجْل,سبب
أَجْنَبِيّ,أَجَانِب
أَجْوَف,جُوف
أَحَاطَ بـ,أحط
أَحَد,واحد | فريد | وحيد
أَحَدفريد,آحَادإحْدَى
أَحَدواحد,آحَادإحْدَى
أَحَدوحيد,آحَادإحْدَى
أَحَقِّيَّة,أفضلية
أَحْدَب,الظهر | منحنٍ | الظهرحُدْبحَدْبَاء | منحنٍ
أَحْسَن,أَحَاسِنُ
أَحْمَر,حُمْر | حُمْرحَمْرَاءُ
أَحْمَق,حُمْق | حُمْق حَمْقَى | مخبول | حُمْقحَمْقَاءُ
أَحْوَجَ,أَفْقَرَ
أَحْوَلُ,العينين
أَحْياء,بيولوجيا
أَحْيَا,ذِكْرَى | يُحيِى
أَحْيِ,إِحْياء
أَخ,رَفِيق | شَقِيق
أَخرَفِيق,إِخْوَة | إِخْوَانأُخْتأَخَوَات
أَخشَقِيق,إِخْوَة | إِخْوَانأُخْتأَخَوَات
أَخَايِرُ,خَيْرَى
أَخَذَ,خُذْ
أَخِفَّاءُ خِفَاف,أخف
أَخْرَق,أحمق | غير بارع
أَخْرَقأحمق,خُرْق
أَخْرَقغير بارع,خُرْق
أَخْضَر,خُضْر | خُضْرخَضْرَاء
أَخْطَأَ,غَلِطَ
أَخْفَى,أخْفِ
أَخْلَى,أخل
أَخْلَى سبيله,أطلق سراحه
أَخْمَدَ,قمع
أَخْمَص,اخمص القدم
أَخْنَس,خُنْس
أَخْيَر,أفضل
أَدَاة,آلة | وسيلة | وسيلةأَدَوَات
أَدَارَ,جعله يَدُورُ اِلْتَفَتَ | شغّل | جعله يَدُورُ
أَدَانَ,أدِن
أَدَب,تهذيب | علم وفن | آدَاب | تهذيبآدَاب
أَدَبعلم وفن,آدَاب
أَدَبِيّ,أَخْلاقِيّ
أَدِيب,مؤدب | مثقّف | مثقّفأُدَبَاءُ
أَدِيم,الجلد المدبوغ | أديم السماء | أديم الأرض | أديم الأرض وجههاأُدْم | آدِمَة
أَدَّبَ,عَاقَبَ
أَدَّى,يؤدي
أَدَّى إلى,أدّ
أَدْرَجَ,أدخل
أَدْرَكَ,لحق | وصل إلى | نضج | فهم | فَهِمَ
أَدْكَن,دُكْن
أَدْلَى بـ,عَبَّرَ عن رأيه
أَدْلَى في,قال قولاً قبيحاً
أَدْنَى,أقرب | أحط | أسفل
أَدْهَم,لون
أَذَلَّ,إِذْلال
أَذْكِيَاءُ,أذكى
أَرَاحَ,أرح
أَرَاقَ,أرق
أَرَب,حاجة | أمنية | أمنيةآرَاب | إِرْبَة
أَرَضَة,نمل أبيض
أَرَضَةنمل أبيض,أَرَض
أَرُومَة,الشجرة | أصل
أَرِيب,ذكي | داهية | ماهر | داهية
أَرِيكَة,عرش | مقعد
أَرْبَاب,رَبَّة
أَرْجَح,مفضل | غالب
أَرْجَحِيَّة,رجحان | احتمال | رجحان
أَرْجَى,أرجأَ
أَرْذَل,أَرَاذِل
أَرْز,شجر
أَرْسَى,أَثْبَتَ | السَّفِينَة
أَرْض,أَرَاضٍ الأَرَاضِي أَرَضون | أَرَاضٍ | الأَرَاضِي | أَرَضون
أَرْقَط,مرقط
أَرْقَطمرقط,رُقْطرَقْطَاء
أَرْمَد,وسخ | رمِد | رمادي | رماديرُمْدرَمْدَاءُ
أَرْمَدرمِد,رُمْدرَمْدَاءُ
أَرْمَدوسخ,رُمْدرَمْدَاءُ
أَرْمَدَ,اِفْتَقَرَ
أَرْنَب,أَرَانِبُ
أَرْهَقَ,نَهَكَ
أَزَاحَ,أزح
أَزَالَ,أَزِلْ
أَزَبّ,زُبّ
أَزَّ,يئزّ
أَزْر,قوة | ظهر
أَزْرَق,زُرْق | زُرْقزَرْقَاءُ
أَزْعَر,شقي
أَزْلَجَ,أغلق بالمزلاج
أَزْمَة,أَزَمَات
أَزْمَعَ,عزم قرّر
أَزْهَر,زُهْر | زُهْرزَهْرَاء
أَزْوَر,أحول | مائل
أَسَارِير,خُطُوط
أَسَاس,أُسُس أُسّ
أَسَد,أُسُود أُسُد
أَسَرَ,هيّم
أَسَلَة,شوكة | رأس
أَسِيتِيلِين,غاز
أَسِير,أَسْرَى أُسَرَاءُ
أَسِيف,أُسَفاءُ
أَسْحَم,لون
أَسْحَملون,سُحْمسَحْمَاءُ
أَسْفَل,أَسَافِلُ
أَسْمَاء,أسامِيّ أَسامٍ
أَسْمَر,لون | سَمْرَاءُ
أَسْمَى,الأسمى
أَسْهَمَ,شارك في
أَسْوَأَ,سُوْأَى
أَسْوَان,مدينة في مِصْر
أَسْوَد,زنجي | لون
أَسْوَدزنجي,سُوْد | سَوْداوَاتسَوْدَاءُ
أَسْوَدلون,سُوْد | سَوْداوَاتسَوْدَاءُ
أَشَارَ إلى,أَشِرْ
أَشَلُّ,مَشْلُول
أَشَمّ,كريم | عالٍ | أنوف
أَشِقَّة أَشِقَّاءُ,شَقَائِقُ
أَشْبَاح,شَبَح
أَشْرَبَ,رَوَّى
أَشْقَر,شُقْر شقراوات
أَشْمَط,شُمْط | شُمْطشَمْطَاء
أَشْهَب,لون
أَشْهَبلون,شُهْب
أَشْوَسُ,أًشَاوِسُ
أَشْيَب,شخص | شعر | شِيب
أَصَابَ,كسب | أَصِبْ
أَصَرَّ في,أَصَرَّ على
أَصَمّ,صلب
أَصَمَّ,أصمم
أَصِيل,وقت | خالص النسب | شريف الأصلِ
أَصْبَحَ,صار
أَصْغَى,أصغ
أَصْل,مصدر | أساس | جذر | نشوء | سبب | نسب | أُصُول
أَضَاءَ,يضيء
أَضَافَ,أضِفْ
أَضَافَضَيَّفَ,أضِفْ
أَضْرَمَ,النار
أَضْنَىأجهد,إضناء
أَطاحَ,أَسْقَطَ
أَطْبَقَ,اللَّيْلُ
أَطْرَبَ,جعله يَطْرَب
أَطْرَش,طُرْش | طُرْشطَرْشاء
أَطْفَأَ,اطفا الجهاز | أَخْمَدَ
أَطْلَس,نسيج
أَعَادَ,كرّر
أَعَادَ إلى,أرجع
أَعَاقَ,أعق
أَعَالٍ,عُلْيَا
أَعْجَبَ,حَمَلَهُ على العَجَب
أَعْجَم,عُجْم | عُجْمعَجْمَاءُ
أَعْجَمِيّ,أَعَاجِم
أَعْرَج,عُرْج | عُرْجعرجاء
أَعْزَب,عُزَّاب أَعْزَاب
أَعْزَل,عُزْل
أَعْسَر,أصعب
أَعْطَى,أَعْطِ
أَعْظَم,أَعَاظِم
أَعْلَى,أقصى | أسمى | أَقْصَى | أَعَالٍ
أَعْمَش,عُمْش
أَعْمَى,عُمْي عُمْيَان
أَعْوَر,عُور عُورَان
أَغَرّ,شريف | بارز | حسن
أَغَلَّ,أعطى غلّة
أَغْرَقَ,غمر
أَغْرَى,أغْرِ
أَغْشَى,غطّى | أظلم
أَغْضب,ضايق جدا
أَغْلَقَ,اغلق الجهاز
أَغْلَى,غَلَّى
أَغْمَضَ,العينين | عَنْ
أَغْنَى,جعله غنيًّا | كَفَى | كَفَى
أَفيكَة,كَذْبَة
أَفَادَ,عنى | أعلم | حصل على | نفع
أَفَنْدِيّ,أَفَنْدِيَّة
أَفْرَجَ عن,إفْرَاج
أَفْرَدَ,عزل | خصّص
أَفْرَزَ,فصل
أَفْسَدَ,إفْسَاد
أَفْضَل,أَفَاضِلُ
أَفْطَس,فُطْس
أَفْلام,فِلْم
أَقَاصٍ,قُصْوَى
أَقَامَ,شيّد
أَقَامَ في,مكث
أَقَرَّ,صادق على
أَقْصَى,أبعد | غاية | آخر
أَقْصَى عن,أقص
أَقْفَرُ,قُفْر | قُفْرقَفْرَاءُ
أَقْوَال,أَقَاوِيلُ
أَكاسيا,شجر
أَكَلَ,كُلْ
أَكَمَة,أَكَم أكَمَات
أَكْبَر,أَكَابِر
أَكْحَلُ,كُحْل | كُحْلكَحْلاءُ
أَكْمَد,اللون
أَكْمَه,كُمْه
أَلرَّحْمٰن,من أسماءُ اللَّه الحُسنى
أَلرَّزَّاق,من أسماءُ اللَّه الحُسنى
أَلَحَّ,يُلِحّ
أَلَم,آلام
أَلِمَ,أحَسَّ وَجَعاً
أَلِيف,حميم | داجن | أنيس
أَلْ,التعريف
أَلْغَى,أَلْغِ
أَلْقَى,قرأ | إِلْقاء
أَلْكَع,لَئِيم
أَمريكا,أميركا
أَمَارَة,أَمَائِرُ
أَمَامَ,قريب من
أَمَان,طمأنينة | حماية | عهد | حماية
أَمَانَة,وديعة | وفاء | حراسة | وديعة | حراسة
أَمَة,إِمَاء أَمَوَات
أَمَد,فترة | نهاية | نهايةآمَاد
أَمَدفترة,آمَاد
أَمَدَّ بـ,أَمْدِدْ
أَمَرَ,مُرْ
أَمِير,أُمَرَاءُ
أَمِين,أمناء
أَمْر,فرض | صيغة الأمر | حال | سلطة | شيء
أَمْلَس,مُلْس | مُلْسمَلْسَاءُ
أَنَابِيبُ,أُنْبُوبَة
أَنَارَ,أنر
أَنِس,أنيس
أَنِيس,داجن | صديق | أليف
أَنِيق,مُخْتال
أَنْشَدَ,غَنَّى
أَنْف,أُنُوف
أَنْفَقَ,اِدْفَعْ
أَنْهَى,ينهي
أَنْهَىينهي,أنْهِ
أَهَابَ بـ,صَاحَ
أَهَّلَ,ـه للأمرِ | رحَّبَ
أَهْبَل,هُبْل | هُبْلهَبْلاَء
أَهْل,أقرباء | أصحاب | سكان | أصحابأَهْلُون | أَهَالٍ
أَهْلأقرباء,أَهْلُون | أَهَالٍ
أَهْلسكان,أَهْلُون | أَهَالٍ
أَهْوَج,هُوج
أَوَد,اعوجاج
أَوَّبَ,رجع
أَوَّل,أهم | أسبق | ضد آخر | بدء
أَوَّلأسبقأُولَى,أُوَل
أَوَّلأهمأُولَى,أُوَل
أَوَّلضد آخرأُولَى,أُوَل
أَوَّلَ,يؤول
أَوَّلَ إلى,أَرْجَعَ
أَوَّلِيّ,أصلي | بدائي | ابتدائي | خام | أساسيّ | تحضيري | بدائي
أَوْب,رجوع | جهة
أَوْج,قمة
أَوْحَى,أشار | ألهم
أَوْدِيَة وِدْيَان,الوَادِي
أَوْرَدَ,استورد | أوصل
أَوْسَط,أَوَاسِط
أَوْصَى,زكّى
أَوْفَر,اقل نفقة | أكثر
أَوْكَلَ,إيكال
أَوْلَجَ,أدخل
أَوْلَى,إِهْتَمَّ بـ | على | اهتماما
أَوْن,سكينة | رفق | سكينة
أَيَّدَ,تَأْيِيد
أَيْ,بمعنى آخر
أَيْدٍ,أَيادٍ الأَيْدي
أَيْسَر,ضد أيمن | أسهل
أَيْلُولَة,رجوع | انتقال الملكية
أَيْمَن,أَيَامِنُ يُمْن
أُترج,نبات
أُجَاج,مالح
أُجْرَة,راتب | رَسْم | بدل إيجار | أتعاب | رَسْمأُجَر | أتعابأُجَر
أُجْرَةبدل إيجار,أُجَر
أُجْرَةراتب,أُجَر
أُحْبولة,شرك | حيلة
أُحْجِيَّة,أَحَاجِيُّ أَحَاجٍ
أُحْفُور,أَحَافِير
أُخْت,أَخَوَات
أُخْدُود,أَخَادِيد | روتين
أُخْرَى,أخْرَيَات
أُذُن البحر,حيوان بحري
أُذُون,أُذُونَات
أُذْن,عضو | مقبض
أُذْنعضو,آذَان
أُذْنمقبض,آذَان
أُرغن,آلة موسيقية
أُرْبَة,عقدة | ربطة عنق
أُرْجُوحَة,أراجيح
أُس,أساس
أُسّ,دليل
أُسْرَة,أُسَر
أُسْطول,أَساطيلُ
أُسْطُورَة,خُرافة
أُسْطُوَانَة,هندسة | عمود دِعامَة | موسيقى | جسم ذو شكل أُسْطوانيّ | هندسةأَسَاطِينُ | جسم ذو شكل أُسْطوانيّأَسَاطِينُ
أُسْقُف,أَسَاقِفَة
أُسْلُوب,أُسْلوب الكِتاب | طريقة | طريقةأَسَالِيبُ
أُسْوَة,أُسًى
أُصُول,مبادئ | آداب | موجودات | مبادئ
أُصُولِيّ,أصولية | فقيه
أُضْحُوكَة,أَضَاحِيكُ
أُضْحِيَّة,أَضَاحٍ
أُضْلُولَة,أَضَالِيلُ
أُعْجُوبَة,أَعَاجِيبُ
أُغْرُودَة,أَغَارِيدُ
أُغْلُوطَة,أَغَالِيطُ
أُغْمِيَ,عليه
أُغْنِيَّة,أغَانٍ الأَغَانِي
أُفْعُوان,أَفْعَى
أُفْعُوانأَفْعَى,أفاعٍ
أُفْق,آفَاق
أُفْنُون,غصن
أُكْذُوبَة,أَكَاذِيبُ
أُمّ,أُمَّهَات
أُمَّة,أُمَم
أُمُّ الشُّعُور,صفصاف
أُمُّ قَشْعم,داهية | حرب | داهية
أُمِّيَّة,جهل | جهل القراءة والكتابة
أُمْسِيَة,أَمَاسِيُّ
أُمْلُود,أماليد
أُمْنِيَّة,أَمانٍ الأَمانِي | أَمانٍ | الأَمانِي
أُنْشُودَة,أَنَاشِيدُ
أُنْشُوطَة,أَنَاشِيطُ
أُنْمُلَة,أَنَامِلُ أُنْمُلات
أُهجوة,أُهجية
أُهْبَة,عدّة | استعداد
أُورُوبَا,أُورُوبَة
أُولاءِ,ذِي ذِه
أُولَى,أُوَل
أُوَار,عطش
أِثث,سيخية
أٞ,تلاقي
أ٠ذ,حاد عن الموضوع
أ٦ٰ,ترسينه صبغ ترابي بني مصفر
ؤؠ,نَاءٍ
ؤؤ,حلقة البنزن
ؤث,عظيم البطن
ؤز,تلفاز | عَطَبَ
ؤ٦ْٰح,انتظار السيارات
ؤٮإ,مضاد للكزاز
ؤٮح,تَرَقُّب | توقعات
إء,عَجْز | قلة احتشام
إبزيم,أبازيم
إبسيلون,أحد حروف الأبجدية الإغريقية
إبقاء,إدامة
إبلاء,تصييره بَالِياً
إبْراز,تَغَوُّط | إنتاء | إصدار | إظهار | تشديد | إنتاء | إصدار | إظهار | تشديد
إثارة,إحداث | تحريك | إغضاب | تهييج
إثقال,إزعاج
إجراء مضاد,إجراءات مضادة
إجْرَائيّ,تنفيذي
إحداثي,إِحْدَاثِيَّات
إحْدَاثِيّ سِينِيّ,إحداثيّات سّينيّة
إخْصاب,تَلْقِيح
إدخال,إدراج | إيلاج
إدريس,إينوخ
إدْرَار,للبول
إذاعة,تلفزيون | نشر | بث راديو | راديو
إذخر,نبات
إذن خزانة,إذون خزانة
إزمير,تركيا
إستئناس,الحيوان
إسحاق,إسحٰق
إسكاتولوجيا,علم الأخرويات
إسكارس,دودة
إسن,ألمانيا
إسورة,أساور
إسْتَأْنَسَ,الحيوان
إشراك,بالله
إصابات,خسائر
إصبع القدم,أصابع القدم
إصفاق,نقل دم
إضفاء,نفس
إطراح,نبذ
إعلان تجاري,إعلانات تجارية
إعياء,عجز | تعب
إعْصَار,أعَاصِير
إغ,كذب
إغْمَاض,العينين | عَنْ
إفْرَاغ,صَبّ
إفْصَاح,تعبير
إكتتاب عام,إكتتابات عامة
إلتشه,مدينة في إسبانيا
إلكترون,جسيم تحت ذري بشحنة كهربائية سالبة
إلهامي,تنفسي
إلهة إلهام,إلهات إلهام
إلينوي,الولايات المتحدة
إلَهِيّ,منسوب إلى الإله
إماتة شاه,شطرنج
إمدن,ألمانيا
إمّعة,الذي لا رأْي له
إمْسَاك,بُخْل
إمْلاء,في اللغة | تمرين مدرسيّ
إنبيق,أَنابِيقُ
إنحراف,ميلان
إنديانا,الولايات المتحدة
إنذار الخطر,إنذارات الخطر
إنشداد,تَوَتُّر
إنفاق,الوقت | المال
إنقلاب عسكري,إنقلابات عسكرية
إنْكِشَارِيّ,إنكشارية
إيزولوسين,حمض أميني
إيعاز,أمر | تلميح | تلميح
إيكولوجي,بيئيّ
إيليا,النبي إيليا
إِئْتِمار,تشاور | طاعة | مؤامرة | تآمر | تشاور
إِبَاء,رفض | أنفة
إِبَاحَة,بوح | إجازة | إجازة
إِبْتَدَرَ إلى,تَسَارَعَ
إِبْتَهَلَ,تضرّع
إِبْراء,شفاء | إعفاء | إعفاء
إِبْرام,عقد | مصادقة
إِبْرَة,إِبَر | حقنة | مؤشر | إِبَر
إِبْرَة آدم,نبات تزييني
إِبْرَةحقنة,إِبَر
إِبْرَةمؤشر,إِبَر
إِبْرِيق,أَبَارِيقُ
إِبْطال,تعطيل | إلغاء
إِبْلاغ,إخبار
إِبْلِيس,أَبَالِيس
إِبْن,أَبْنَاء بَنُون
إِبْهام,غموض
إِتَّكَأَ,يتكئ
إِتِّجَاه,إِتِّجَاهَات
إِتَّهَمَ,وقعت عليه التهمة
إِثْبات,تسجيل | برهنة | تأكيد
إِثْم,آثَام
إِثْنَان,إِثْنَتَان
إِجَابَة,جواب | عن تهمة | تلبية | تلبية
إِجَازَة,رخصة | سماح | إذن | عطلة | إقرار | إقرار
إِجْتِمَاعيّ,مخالط
إِجْتِيَاح,غزو | تدمير | تدمير
إِجْتِيَاز,معاناة | تغلب
إِجْراء,تَدَابِير
إِجْرَاء,تنفيذ | تدبير
إِجْلاَء,إخراج | جلاء | تبديد | إخراج | تبديد
إِجْمال,إيجاز | تعميم | جمع | إيجاز | تعميم
إِجْمالِيّ,عمومي | غير صاف | عمومي
إِجْهَاد,إرهاق
إِحَاطَة,شمول | تطويق | علم | تطويق
إِحْتَزَّ,الرأس
إِحْتَسَبَ,اِعْتَبَرَ
إِحْتِجَاج,تذرع | اعتراض
إِحْتِفَاء,تَرْحِيب
إِحْتِمَال,تَحَمُّل | إمكانية
إِحْجام,نكوص | نفور
إِحْسَاس,أَحَاسِيسُ
إِحْصاء,عدّ
إِحْكام,دِقَّة
إِحْياء,ذكرى | بعث | تجديد | إنعاش | تجديد | إنعاش
إِخْبار,إبلاغ
إِخْتِلال,نقص | اضطراب
إِخْراج,ضد إدخال | استثناء | إصدار | الإخراج السينمائي | حذف | إصدار | الإخراج السينمائي
إِخْفاق,فَشَل
إِخْلال,خرق
إِخْماد,قمع | إطفاء | إطفاء
إِخْوَة إِخْوَان,أُخْت
إِدَارَة,قسم | جَعْل الشيء يدور | حكم | تَدَابِير | شريعة
إِدَارِيّ,موظف
إِدَامَة,إبقاء | تخليد
إِدَانَة,إقراض | تجريم | شجب | إقراض | تجريم
إِدْراك,بلوغ | نيل | نضج | تمييز فهم | تمييز
إِدْغام,إدخال | دمج | إدغامات | إدخالإدغامات
إِدْلاَء بـ,تَعْبِير
إِذْن,إجازة | رخصة | إجازةأُذُونأُذُونَات
إِرْب,عقل | عضو
إِرْبعضو,آرَاب
إِرْبعقل,آرَاب
إِرْتِداد,رجوع
إِرْتِفاق,قانون
إِرْتِكاس,تراجع | استجابة | تراجع
إِرْدَبّ,قناة | قرميد | مكيال | قرميد | مكيالأَرَادِبُ
إِرْساء,ترسيخ | السفينة | ترسيخ
إِرْسال,بعث | إطلاق | إطلاق
