headword,definition
Aberdeen,city in northeastern Scotland
Aberdevine,small finch of yellow and green colors
aberr,to stray to wander
aberrance,deviance deviation from the norm
aberrancy,abnormality state of deviation from the norm
aberrantly,abnormally
aberrate,to diverge to deviate | to diverge | to deviate
aberration,deviance deviation from the norm
aberuncate,to rid of to weed out | to rid of | to weed out
abet,to assist or encourage (usu. in doing smth wrong)
abetment,instigation encouraging to do smth
abetter,instigator
abetting,instigating encouraging to do smth
abettor,instigator
abeyance,suspension temporary halt
abeyant,suspended temporarily out of use
abhominal,not human inhuman
abhor,to loathe to deteste | to loathe | to deteste
abhorrence,detestation loathing | detestation | loathingD
abhorrent,detestable abominable | detestable | abominableD
abhorrible,abhorrent detestable | abhorrent | detestable
Abiathar,son of Ahimelech
abide,to dwell to live | to put up with to endure to accept | to dwell | to liveF | abode | abidedabided
abide by,to obey
abider,smo who abides
abiding,dwelling
Abidjan,city in the Ivory Coast
abience,an urge to withdraw or avoid a situation
abient,tending to withdraw or avoid a situation
abietic,relating to the fir tree
Abilene,city in Texas USA; city in Kansas USA
abime,abyss
abiogenesis,spontaneous generation hypothetical formation of life from non-living matter
abiological,not biological
abiotic,not living
abiotrophy,degeneration of cells or tissues
abirritation,debility weakness
abjectly,resignedly
abjudicate,to reject by judicial means
abjudication,rejection by judicial means
abjugate,to remove the yoke from | to free
abjunctive,exceptional
abjuration,repudiation renunciation
abjure,to deny to reject formally
ablactate,to wean (a baby)
ablate,to remove by cutting or melting
ablative,relating to ablation involving removal of a tissue or destroying its function (of a procedure) | of the ablative case
ablaut,a vowel change which reflects a change in the word's grammatical role
ablaze,very excited | on fire flaming
able,abler ablest
ablegate,a Papal legate
ableism,discrimination against people with disabilities
ablen,type of fresh-water fish
ableness,vigor ability (of mind or body) | vigor | ability (of mind or body)
ablepharia,absence of eyelids
ablephary,absence of eyelids
abligate,to tie up
abligurition,spending excessively on food or drink
ablins,perhaps
ablude,to be different to differ
ablush,blushful
ablutomania,mania for washing
ably,aptly skillfully capably
abmho,unit for measuring conductance
ABN,airborne
abnegate,to deny to renounce to abstain | to deny | to renounce | to abstainB
abnegator,smo one renounces
abnodate,to free from knots
abnormal,not normal irregular | not normal | irregularD
abnormalcy,abnormality
abnormally,in an abnormal way
Abo,Aborigine
aboard,part of a group | beside alongside | on board (a ship train etc.) | beside | alongside | on board (a ship | train etc.)
abode,a home a house a residence | a home | a house | a residenceY |
abode abided,abided
aboding,omen foreboding
abolish,to put end to to cancel
abolishable,can be cancelled
abolition,abolishment
abolitionism,the doctrine of opposition to slavery
aboma,Boa aboma large serpent living in South America
abomasum,the fourth stomach (in ruminants)
abominable,detestable awful | detestable | awfulA
abominably,in a hateful manner atrociously | in a hateful manner | atrociously
aboon,above
Abor,language spoken in northeast India and west Burma
aborad,aboral away from the mouth
aboral,away from the mouth
abord,to approach
Aborigine,a native Australian an indigenous person of Australia
aborigine,a native inhabitant
aborning,while being created
abortifacient,abortion-inducing drug | abortion-inducing | abortion-inducing drugM | abortion-inducingM
abortional,relating to abortion
abortively,unsuccessfully
abortus,fetus that is removed from the mother's body
aboulia,lack of will power
abounding,abundant
about-face,a total change in point of view | reversing of direction turning 180 degrees
above and beyond,too much
above ground,alive | above the ground | alive
above-board,open without covering fair candid | in an open or fair manner
aboveground,above the ground level
abovementioned,above mentioned
abovesaid,above mentioned
ABP,archbishop
abra,a narrow pass
abrachia,absence of the arms
abrade,to wear away to scrape off
Abraham,the first of the Bible patriarchs the father of Isaac
Abraham ibn Ezra,distinguished Jewish men of letters during the Middle Ages (1092-1167)
Abrahamitic,Relating to the patriarch Abraham
abraid,to awake to arouse
Abramis,genus of freshwater fish containing the breams
abrase,to wear
abrasively,roughly bluntly harshly
abraum,red ocher
abraxas,mystical word engraved on gems; gem with such an engraving
abray,to awake to arouse to abraid
abreact,to discharge emotions by acting out
abreaction,catharsis | purging of emotional tensions
abreast,side by side
abridge,to shorten to reduce (e.g. of a text)
abridged,shortened (e.g. of a text)
abridgement,summarization reduction
abridger,abbreviator
abroach,broached pierced open
abrogate,put an end to formally cancel
abrogation,annulment legal cancellation | annulment | legal cancellationM
abronia,type of North American shrub
abrupt,extremely steep | steep | sudden brusque | steep | sudden | brusque |
abruptly,suddenly; steeply | suddenly; steeplyC
abrus,tropical plant genus
Abruzzi,mountainous region in Italy
ABS,antilock braking system
abscession,abscess | removal separation
abscind,to remove to cut off | to remove | to cut off
abscise,to remove to cut off | to remove | to cut off
abscision,cutting off removal
abscissa,abscissae abscissas
abscission,cutting off
absconce,dark lantern
abscond,to dodge to flee secretly to make off
abscondence,escaping secretly
absconder,a fugitive a runaway | a fugitive | a runaway
absconding,escaping secretly
abscondment,act of leaving suddenly or secretly
abseil,to rope down
absence,the state of being away (from a place); lack non-existence
absent,without | not present
absent oneself,to go away
absentee,smo who is absent | smo who is absentR
absently,absentmindedly
absentminded,abstracted forgetful | abstracted | forgetful
absentmindedly,abstractedly
absinth,strong green liqueur
absinthe,type of herbaceous plant | strong green liqueur
absinthe wormwood,absinthium | type of wormwood
absinthism,a disorder associated with drinking too much absinthe
absinthium,absinthe wormwood type of wormwood
absis,apsis domed recess
absist,to desist | to stand far from | to stand far from
absolute zero,the lowest temperature theoretically possible 0 degrees Kelvin (-273.15 Celsius)
absoluteness,being absolute; completeness | being absolute; completenessB
absolution,remittal being formaly forgiven | remittal | being formaly forgivenb
absolutism,dictatorship; totalitarianism | dictatorship; totalitarianismB
absolutist,relating to totalitarianism
absolutistic,relating to totalitarianism
absolutory,absolving
absolvable,pardonable forgivable | pardonable | forgivable
absolve,to acquit to forgive | to acquit | to forgive&A#&A
absolvitory,forgiving exonerative | forgiving | exonerative
absonous,inharmonious incongruous
absorb,to take up (the costs or debts) | to imbibe to take in | to imbibe | to take in
absorbency,the ability to soak up liquids easily
absorbent,a substance which can soak up liquids easily | can soak up liquids easily
absorbent cotton,cotton wool
absorber,material that absorbs radiation (in a nuclear reactor) | smth or smo which absorbs
absorbingly,in an absorbing manner
absorbition,absorption
absorptance,coefficient of absorption
absquatulate,to make off to run away (and usu. take smth along)
abstain,to refrain from voting | (make ~) | to refrain from to decide not to consume | to refrain from votingMM
abstemious,not self-indulgent satisfied with little
abstemiousness,austerity moderation | austerity | moderation
absterge,to wipe away to cleanse
abstersion,purging cleansing
abstersive,purging cleansing
abstinence,abstention abstaining | abstention | abstainingB
abstinency,abstaining forbearance
abstinently,with forbearance
abstract,to give an abstract of | a summary (e.g. of an article) | theoratical not concrete | to give an abstract ofB
abstractedness,absent-mindedness
abstraction,taking the property of another | act of abstracting | making (smth) abstract; absentmindedness | making (smth) abstract; absentmindednessB
abstractness,quality of being abstract
abstruse,hard to penetrate or understand
abstruseness,obscureness abstrusity
abstrusity,obscureness abstruseness
absume,to consume gradually
absumption,extinction | wasting away consuming
absurd,ridiculous not reasonable foolish
absurdism,irrationality
abuilding,in the process of building
Abuja,capital city of Nigeria
Abul Kasim,Arab physician and scientist; considered the father of modern surgery (936-1013)
Abulcasis,Abu al-Qasim al-Zahrawi Arab physician and scientist; considered the father of modern surgery (936-1013)
abulia,lack of will power
abulic,suffering from abulia | suffering from abuliaaboulic
Abuna,patriarch of the Abyssinian church lit. 'our father'
abundance,copiousness richness plenty great quantity
abundant,plentiful found in great quantity
abundantly,in an abundant manner | in an abundant mannerC |
abusable,can be abused
abuse,%b | bad treatment; misuse; bad language
abusion,abuse
abusively,in an abusive manner
abut,to lean on | to be adjacent to border to have a common border
Abutilon,genus of evergreens
abuttal,boundary
abutting,adjacent bordering having a common border
abuzz,buzzing
abvolt,potential unit equal to one hundred millionth of a volt
aby,to atone to make amends for | to atone | to make amends for
abye,to atone to make amends for | to atone | to make amends for
abysm,abyss
abysmal,very deep bottomless | very deep | bottomlessQ
abysmally,immeasurably in a terrible manner
abyss,hell | a deep chasm
abyssal,very deep bottomless of an abyss
Abyssinia,Ethiopia
acacia,tree of warm climates with yellow flowers
acacin,gum arabic
Academe,garden in Athens where Plato taught
academia,academic environment the academic world | academic environment | the academic world |
academial,academic
academian,an academy member
academicianship,academy membership
Academy Award,the Oscar
Acadia,former French colony in southeastern Canada
Acadian,the early French settler in Acadia (southeastern Canada)
acajou,the cashew tree or its fruit
acalculia,inability to perform calculations
acaleph,type of stinging jelly fish
acalephan,type of stinging jelly fish
acanth,acanthus
acantha,spine; spiny part or structure
acanthaceous,prickly having sharp points | prickly | having sharp points
acanthesthesia,abnormal sensation of a point pricking the body
acanthine,relating to acanthus
Acanthocephala,spiny-headed worms
acanthocytosis,blood disorder characterized by the presence of acanthocytes
acanthoid,spiny shaped as a thorn
acantholysis,disease of the skin
acanthoma,skin tumor
acanthopterygian,spiny-finned fish
acanthurus,type of fish found in tropical oceans
acanthus,acanthi
acapnia,low level of carbon dioxide in the blood
Acapulco,port and resort city on southern Mexico
acaricide,substance for killing mites and ticks
Acarina,order containing the mites and ticks
acaroid,resembling a mite
acarology,the study of mites and ticks
acarpous,unfruitful producing no fruit
acarus,a mite
acarusa mite,acari
acatalasia,absence of catalase
acatalectic,metrically complete (Poetry)
acatalepsia,incomprehensibility the impossibility of comprehending
acates,cates
acaudal,tailless having not tail
acaudate,tailless having not tail
acaulescent,stemless having a short apparent stem
accede,to enter (an office) | to join to become a party to a treaty | to consent to agree
accedence,acceptance consenting | acceptance | consenting
acceder,smo who accedes
acceding,assenting acquiescing | assenting | acquiescingR |
accelerando,gradually increasing (of tempo) | tempo of music that is gradually increasing
accelerative,acceleratory tending to increase velocity
accelerator,the gas pedal | substance that accelerates a chemical process
acceleratory,acceleratory tending to increase velocity
accend,to kindle to set fire | to kindle | to set fire
accension,ignition kindling
accent,to stress to accentuate
accenting,emphasizing
accentor,type of songbird
accentual,emphasized; relating to accent
accentuate,to stress to emphasize
accept,to consent to receive to regard as true
acceptability,the quality of being acceptable
acceptable,can be accepted
acceptableness,the quality of being acceptable
acceptably,in an acceptable manner
acceptedly,in an accepted manner
accepter,smo who accepts
acceptilation,free remission release from a debt without payment
acception,acceptance
acceptive,inclined to accept
access,to gain access to to approach | admission the right to enter; way or means of entering; act of approaching
accessary,smo who helps another person to commit a crime
accessibly,in an accessible manner
accession,smth added an addition | attainment (of a high position); acceptance (of a treaty) joining (an association)
accessive,accessory additional | accessory | additional
accessory,smo who helps another person to commit a crime
accessory nerve,the eleventh cranial nerve
accidentalness,being incidental | fortuitousness occurring by chance
accidently,accidentally
accidie,sloth laziness; torpor
accipiter,type of hawk
Accipiter nisus,sparrow hawk
Accipitriformes,diurnal birds of prey
accismus,affected refusal
acclamation,applause shout of approval
acclimate,acclimatize
acclimatization,acclimatisation
acclimatize,become adapted to new conditions
acclivity,slope which goes up
acclivous,going upward (of a slope)
accoil,to gather to collect | to gather | to collect
accolade,a ceremonial embrace | approval praise award
Accomac,town in Virginia USA | town in Virginia | USA
accommodate,to lodge to provide housing for | to make (smth) fit to adapt (smth); to become adapted | to lodge | to provide housing forA |
accommodating,obliging cooperative willing to adjust | obliging | cooperative | willing to adjustA |
accommodatingly,in an accommodating manner
accommodation,adjustment | housing lodging
accommodationist,smo who adapts to opposing views
accommodative,obliging cooperative willing to adjust | obliging | cooperative | willing to adjustA |
accompanier,smo who accompanies
accompaniment,musical accompaniment | smth that supplements or accompanies; act of accompanying | musical accompanimentC
accompanist,smo who provides accompaniment (usually on a piano)
accompany,to come with; to go or travel along with | to come with; to go or travel along withC
accompanyist,accompanist smo who provides accompaniment (usually on a piano) | accompanist | smo who provides accompaniment (usually on a piano)
accompliceship,complicity the state of being an accomplice
accomplish,finish complete; execute
accomplishable,achievable possible to do
accomplished,skilled | finished complete
accomplisher,smo who accomplishes
accompt,an account
accordance,act of granting | conformity agreement | conformity | agreementD |
accordancy,accordance
accordant,suitable
accorder,smo who accords or agrees
according as,depending on whether; if
according to,as stated by; in agreement with
accordingly,therefore
accordment,agreement
accost,to approach (smo) to solicit | to approach (smo) | to solicit
accouchement,childbirth
accoucheur,man which acts as a midwife
account for,to give reasons for; to be the reason or explanation for | to be responsible for | to be responsible for
accountableness,responsibility
accountably,in an explainable manner
accountant,smo who audits and maintains accounts
accounter,to ascribe to assign | to ascribe | to assign
accouplement,coupling; union
accourt,to court to treat courteously
accouter,to equip to provide
accoutrement,accouterment equipment; soldier's war equipment
accoy,to tame to subdue
Accra,capital of Ghana
accreditate,to give credit
accreditation,act of granting credit; authorization
accredited,licensed certified
accrescence,continuous growth
accrescent,increasing growing
accrete,grow slowly form by accumulation
accretion,gradual build-up growth
accretionary,increasing growing
accretive,increasing growing
accroach,to obtain to usurp
accrual,accumulation
accruement,accrual accumulation | accrual | accumulation
accrument,process of accruing increase | process of accruing | increase
accubation,reclining
acculturate,to assimilate culturally
acculturating,assimilating culturally
acculturative,relating to acculturation
accumb,to recline
accumbent,lying reclining
accumulate,to collect or gather; to build up | to get or gather together
accuracy,precision exactness the quality of being accurte
accurateness,accuracy exactness precision
accursedness,being cursed
accurst,accursed
accusable,can be accused
accusant,accuser
accusatival,of the accusative case
accusatorial,accusatory
accuse,to blame for to charge
accusingly,in an accusing manner | in an accusing manner%b
accusive,accusative accusing
accustomed,usual habitual; having the habit (of) used (to)
accustomedness,habituation
ace,to succeed at | very good superior | playing card with a single pip unity
Aceh,special territory of Indonesia
Aceldama,Akeldama
acelomate,having no body cavity
Acephala,division of the Mollusca
acephali,Christian sect without a leader
acephalia,absence of head
acephalous,having no leader | having no head
acequia,waterway used for irrigation from Arabic 'al saqiya'
Acer,genus Acer tree of the Maples
Acer rubrum,red maple tree
Aceraceae,Maple Family family of trees including the maples
acerate,long and narrow needle-shaped
acerb,bitter in taste acerbic
acerbic,sharp bitter; harsh in tone | sharp | bitter; harsh in toneK
acerola,tropical American shrub or its fruit
acerose,long and narrow needle-shaped
acervate,clustered
acervation,accumulation
acetabular,relating to the acetabulum
acetabulectomy,excision of the acetabulum
acetabulum,cavity on the side of the hipbone
acetabulumcavity on the side of the hipbone,acetabula | acetabulums
acetal,organic compound
acetaldehyde,ethanal colorless volatile liquid aldehyde used in the manufacture of perfumes and drugs
acetaminophen,an analgesic drug | an analgesic drugQ
acetanilide,an analgesic drug
acetarious,used in salads
acetate,salt of acetic acid
acetin,liquid acetate | formed when acetic acid and glycerin are heated together
acetol,water-soluble colorless liquid
acetose,tasting like vinegar
acetous,tasting like vinegar
acetum,vinegar solution
acetyl,acetyl group CH3CO
acetylcholine,a neurotransmitter
Achaean,inhabitant of one of four divisions of the prehistoric Greeks
Achaian,inhabitant of one of four divisions of the prehistoric Greeks
Achates,a loyal companion
ache,to feel pain to hurt | to feel pain | to hurtM
acheilia,absence of the lips
acheiria,absence of a hand or of both hands
achene,small and dry indehiscent fruit
achenial,relating to achene
Acheron,river in Hades
Acheronian,dark dismal; of the Acheron river
Acherontic,dark dismal; of the Acheron river
achievability,being achievable feasibility | being achievable | feasibility
achieve,to accomplish to attain
achiever,succeeder smo who achieves
achillea,type of plant
Achillean,invincible
Achilles,Greek mythological hero
Achilles tendon,tendon connecting the heel to the leg calf muscle
Achilles' heel,a point of weakness
achillodynia,inflammation of the Achilles tendon
achiness,a state of pain
aching,hurting dull persistent pain | hurting | dull persistent painM
achiote,tropical American evergreen shrub or its seed
achlamydeous,having no floral envelope
acholia,lack of bile secretion
achromasia,lack of skin pigmentation
achromat,monochromat
achromaticity,colorlessness
achromatism,colorlessness
achromatopsia,monochromatic vision
achronic,rising at sunset and setting at sunrise (of a star)
achylia,absence of gastric juice
acicular,long and narrow needle-shaped
acid reflux,heartburn
acid test,a rigorous or crucial appraisal
acid-fast,acid resisting
acid-fastness,acid resistance
acid-test ratio,ability of a firm to cover its current liabilities
Acidalia,epithet of Aphrodite
acidemia,blood disorder state of low blood pH
acidify,to make sour or acid; to become acid
acidophile,organism that thrives in acidic environment
acidophilic,thrives in acidic environment
acidophilous,thrives in acidic environment
acidotic,of acidosis
acidulate,to make sour
acidum,acid
acinitis,inflammation of an acinus
acinous,of grapelike shape (a gland)
acinus,small saclike dilation (in a gland)
ack,to acknowledge
ack-ack,antiaircraft gun
aclinic,without inclination
ACLU,American Civil Liberties Union
acme,peak top the highest level or point
acne rosacea,skin disease
acneiform,resembling acne
acnode,an isolated point
acockbill,ready to let go
acologic,relating to the study of remedies relating to acology
acology,the study of remedies pharmacology
acolothist,acolyte altar boy
acolyte,an assistant or follower | an altar boy smo who assists a priest by performing ceremonial duties (e.g. lighting altar candles)
acolythist,acolyte altar boy
Aconcagua,highest mountain in the western hemisphere located in the Andes of Argentina (6 962 meters) | highest mountain in the western hemisphere | located in the Andes of Argentina (6 | 962 meters)
aconite,type of poisonous plant
aconitum,aconite type of poisonous plant
acopic,restorative
acorea,absence of the pupil
acoria,lack of the sensation of satiety
acorn,fruit of the oak tree
acosmism,denial of the existence of an external world or of the universe as distinct from God
acotyledonous,having no seed lobes
acoustical,acoustic
acousticophobia,abnormal fear of sounds
acoustoelectric,relating to electroacoustics
acquaintance,a person one is acquainted with or knows slightly | familiarity knowledge about smo or smth | familiarity | knowledge about smo or smth$M
acquaintanceship,acquaintance
acquaintant,acquaintance
acquest,acquisition
acquiesce,to agree or express agreement
acquiescence,acceptance without protest
acquiescently,submissively
acquiet,to quiet
acquire,to get to gain to buy to learn
acquiry,acquirement
acquisite,acquired
acquit,to pronounce not guilty of criminal charges
acquit oneself,to behave in a certain manner
acquitted,acquitted
acral,of the limbs
acrania,disorder characterized by absence of the cranium
acrasia,excess self-indulgent | excess | self-indulgent
acrasy,excess self-indulgent | excess | self-indulgent
Acre,port city in north Israel
acre-foot,quantity of water that covers an acre to a depth of a foot
acridid,type of grasshopper
acridness,acridity
acrimonious,bitter marked by resentment | bitter | marked by resentmentY
acrita,protozoa lowest groups of animals lacking nervous system
acritude,pungency combined with heat
acrity,sharpness
acro-,extremity; summit
acroamatic,oral communicated orally
acroanesthesia,anesthesia of the extremities | anesthesia of the extremitiesacroanaesthesia
acroatic,oral communicated orally
acrobatics,gymnastic moves of an acrobat | gymnastic moves of an acrobatB
acrocephalic,relating to acrocephaly
acrocephaly,congenital disorder characterized by malformations of the skull and the extremities
acrocyanosis,bluish discoloration of the extremities skin
acrodermatitis,acral dermatitis
acrodermatosis,any skin disease of the limbs
acrodynia,pain in the extremities
acroesthesia,increased sensitivity in the extremities
acrogen,any flowerless plant
acrogenic,relating to flowerless plants
acrogenous,relating to flowerless plants
acrognosia,sensory perception of the limbs and their position
acrohypothermy,abnormal coldness of the extremities
acrokeratosis,growth of horny skin layer on the fingers and toes
acrolith,statue with stone head hands and feet and trunk of made of wood (Greek sculpture)
acromastitis,inflammation of the nipple
acromegalic,relating to acromegaly
acromicria,abnormally small extremities | abnormally small extremitiesacromikria
acromion,acromia
acronyc,rising at sunset and setting at sunrise (of a star)
acronymic,characterized by using acronyms of an acronym
acronymous,characterized by using acronyms of an acronym
acropachy,clubbing of the fingers
acropachyderma,thickening of the skin over the face and limbs
acroparalysis,paralysis of the limbs
acropathy,disease of the limbs
acropetal,developing or opening upward
acrophobia,abnormal fear of heights
acrophobic,suffering from acrophobia
Acropolis,citadel in Athens | citadel in AthensA
across,transversely crosswise | on the other side of; throughout | on the other side of; throughout
across-the-board,broad extensive
