headword,pos,definition,examples,synonyms
abatic,adjective,of or relating to abasia (inability to walk) [adj.pert],,abasic
abaxial,adjective,facing away from the axis of an organ or organism [adj.all],"the abaxial surface of a leaf is the underside or side facing away from the stem | ""the abaxial surface of a leaf is the underside or side facing away from the stem""",dorsal
abbatial,adjective,"of or having to do with or belonging to an abbey or abbot, or abbess [adj.pert]",,
abbreviated,adjective,(of clothing) very short [adj.all] | cut short in duration [adj.all],"an abbreviated swimsuit | a brief bikini | ""an abbreviated swimsuit"" | ""a brief bikini"" | the abbreviated speech","brief, shortened, truncated"
abdicable,adjective,capable of being discarded or renounced or relinquished [adj.all],"abdicable responsibilites | ""abdicable responsibilites""",
abdominal,adjective,of or relating to or near the abdomen [adj.pert],"abdominal muscles | ""abdominal muscles""",
abdominous,adjective,having a large belly [adj.all],,"paunchy, potbellied"
abdominovesical,adjective,of or relating to the abdomen and the urinary bladder [adj.pert],,
abducent,adjective,especially of muscles [adj.all],drawing away from the midline of the body or from an adjacent part,abducting
abducting,adjective,especially of muscles [adj.all],drawing away from the midline of the body or from an adjacent part,abducent
abecedarian,adjective,alphabetically arranged (as for beginning readers) [adj.all],,
aberdonian,adjective,of or relating to Aberdeen [adj.pert],,
aberrant,adjective,markedly different from an accepted norm [adj.all],"aberrant behavior | deviant ideas | ""aberrant behavior"" | ""deviant ideas""","deviant, deviate"
abeyant,adjective,inactive but capable of becoming active [adj.all],"her feelings of affection are dormant but easily awakened | ""her feelings of affection are dormant but easily awakened""",dormant
abhorrent,adjective,offensive to the mind [adj.all],an abhorrent deed | the obscene massacre at Wounded Knee | morally repugnant customs | repulsive behavior | the most repulsive character in recent novels,"detestable, obscene, repugnant, repulsive"
abiding,adjective,unceasing [adj.all],"an abiding belief | imperishable truths | ""an abiding belief"" | ""imperishable truths""","enduring, imperishable"
abient,adjective,characterized by avoidance or withdrawal [adj.pert],,
abiogenetic,adjective,originating by abiogenesis [adj.pert],,
abject,adjective,of the most contemptible kind [adj.all] | most unfortunate or miserable [adj.all] | showing utter resignation or hopelessness [adj.all] | showing humiliation or submissiveness [adj.all],abject cowardice | a low stunt to pull | a low-down sneak | his miserable treatment of his family | You miserable skunk!,"low, low-down, miserable, scummy, scurvy, unhopeful"
abkhaz,adjective,of or relating to Abkazia or its people or their language [adj.pert],,Abkhazian
abkhazian,adjective,of or relating to Abkazia or its people or their language [adj.pert],,Abkhaz
ablated,adjective,made smaller or less by melting or erosion or vaporization [adj.all],"the rocket's ablated head shield | ""the rocket's ablated head shield""",
ablative,adjective,relating to the ablative case [adj.pert] | tending to ablate [adj.all],"ablative material on a rocket cone | i.e. to be removed or vaporized at very high temperature | ""ablative material on a rocket cone""",
ablaze,adjective,keenly excited (especially sexually) or indicating excitement [adj.all] | lighted up by or as by fire or flame [adj.all] | resembling flame in brilliance or color [adj.all] | lighted with red light as if with flames [adj.all],"his face all ablaze with excitement | he was aflame with desire | ""his face all ablaze with excitement""- Bram Stoker | ""he was aflame with desire"" | forests set ablaze (or afire) by lightning","aflame, aroused, ablaze(p), afire(p), aflame(p), aflare(p), alight(p), on fire(p), inflamed, reddened"
able,adjective,(usually followed by `to') having the necessary means or skill or know-how or authority to do something [adj.all] | have the skills and qualifications to do things well [adj.all] | having inherent physical or mental ability or capacity [adj.all] | having a strong healthy body [adj.all],"able to swim | she was able to program her computer | we were at last able to buy a car | able to get a grant for the project | ""able to swim""","capable, able-bodied"
able-bodied,adjective,having a strong healthy body [adj.all],"an able seaman | every able-bodied young man served in the army | ""an able seaman"" | ""every able-bodied young man served in the army""",able
abloom,adjective,bursting into flower [adj.all],"flowering spring trees | ""flowering spring trees""",efflorescent
ablutionary,adjective,cleansing the body by washing [adj.all],"ablutionary rituals | especially ritual washing of e.g. hands | ""ablutionary rituals""",cleansing
abnaki,adjective,of or relating to the Abnakis or their language [adj.pert],,
abnormal,adjective,not normal [adj.all] | departing from the normal in e.g. intelligence and development [adj.all] | much greater than the normal [adj.all],abnormal powers of concentration | abnormal amounts of rain | abnormal circumstances | an abnormal interest in food | not typical or usual or regular or conforming to a norm,unnatural
abolishable,adjective,capable of being abolished [adj.all],,
abolitionary,adjective,"relating to or favoring abolition, especially abolition of slavery [adj.pert]",,
abomasal,adjective,relating to the abomasum (the fourth compartment of the stomach of ruminants) [adj.pert],,
abominable,adjective,unequivocally detestable [adj.all] | exceptionally bad or displeasing [adj.all],"abominable treatment of prisoners | detestable vices | execrable crimes | consequences odious to those you govern | ""abominable treatment of prisoners""","detestable, execrable, odious, atrocious, awful, dreadful, painful, terrible, unspeakable"
aboral,adjective,opposite to or away from the mouth [adj.all],"the aboral surface of a starfish | ""the aboral surface of a starfish""",
aboriginal,adjective,of or pertaining to members of the indigenous people of Australia [adj.pert] | characteristic of or relating to people inhabiting a region from the beginning [adj.all] | having existed from the beginning [adj.all],"an Aboriginal rite | ""an Aboriginal rite"" | native Americans | the aboriginal peoples of Australia | ""native Americans""","native, primal, primeval, primaeval, primordial"
abortifacient,adjective,causing abortion [adj.all],,
abortive,adjective,failing to accomplish an intended result [adj.all],"an abortive revolt | a stillborn plot to assassinate the President | ""an abortive revolt"" | ""a stillborn plot to assassinate the President""","stillborn, unsuccessful"
aboulic,adjective,suffering from abulia [adj.all],showing abnormal inability to act or make decisions,abulic
abounding,adjective,existing in abundance [adj.all],"abounding confidence | whiskey galore | ""abounding confidence"" | ""whiskey galore""",galore(ip)
about,adjective,on the move [adj.all],"up and about | the whole town was astir over the incident | ""up and about"" | ""the whole town was astir over the incident""","about(p), astir(p)"
above,adjective,appearing earlier in the same text [adj.all],"flaws in the above interpretation | ""flaws in the above interpretation""",
above-mentioned,adjective,mentioned or named earlier in the same text [adj.all],,above-named
above-named,adjective,mentioned or named earlier in the same text [adj.all],,above-mentioned
aboveboard,adjective,without concealment or deception [adj.all],"their business was open and aboveboard | straightforward in all his business affairs | honest | ""their business was open and aboveboard"" | ""straightforward in all his business affairs""",straightforward
aboveground,adjective,on or above the surface of the ground [adj.all],"aboveground nuclear testing | surface instruments for detecting oil deposits | surface transportation | ""aboveground nuclear testing"" | ""surface instruments for detecting oil deposits""",
abranchial,adjective,having no gills [adj.all],,"abranchiate, abranchious, gill-less"
abranchiate,adjective,having no gills [adj.all],,"abranchial, abranchious, gill-less"
abranchious,adjective,having no gills [adj.all],,"abranchiate, abranchial, gill-less"
abrasive,adjective,causing abrasion [adj.all] | sharply disagreeable [adj.all],"the harsh facts of court delays | an abrasive character | rigorous | ""the harsh facts of court delays"" | ""an abrasive character""","scratchy, harsh"
abreast,adjective,being up to particular standard or level especially in being up to date in knowledge [adj.all],"kept abreast of the latest developments | constant revision keeps the book au courant | always au fait on the latest events | up on the news | ""kept abreast of the latest developments""","abreast(p), au courant, au fait, up on(p)"
abridged,adjective,(used of texts) shortened by condensing or rewriting [adj.all],"an abridged version | ""an abridged version""",
abroach,adjective,of a cask or barrel [adj.all],"the cask was set abroach | ""the cask was set abroach""",broached
abroad,adjective,in a foreign country [adj.all],"markets abroad | overseas markets | ""markets abroad"" | ""overseas markets""",overseas
abrupt,adjective,marked by sudden changes in subject and sharp transitions [adj.all] | exceedingly sudden and unexpected [adj.all] | extremely steep [adj.all] | surprisingly and unceremoniously brusque in manner [adj.all],"abrupt prose | ""abrupt prose"" | came to an abrupt stop | an abrupt change in the weather | ""came to an abrupt stop""","disconnected, precipitous, sharp"
abruptly-pinnate,adjective,(of a leaf shape) pinnate with a pair of leaflets at the apex [adj.all],,"even-pinnate, paripinnate"
abscessed,adjective,infected and filled with pus [adj.all],"an abscessed tooth | ""an abscessed tooth""",
absent,adjective,not being in a specified place [adj.all] | nonexistent [adj.all] | lost in thought [adj.all],"the thumb is absent | her appetite was lacking | ""the thumb is absent"" | ""her appetite was lacking"" | an absent stare","lacking, missing, wanting, absentminded, abstracted, scatty"
absentminded,adjective,lost in thought [adj.all],"an absent stare | an absentminded professor | the scatty glancing quality of a hyperactive but unfocused intelligence | showing preoccupation | ""an absent stare""","absent, abstracted, scatty"
absolute,adjective,perfect or complete or pure [adj.all] | complete and without restriction or qualification [adj.all] | not limited by law [adj.all] | expressing finality with no implication of possible change [adj.all] | not capable of being violated or infringed [adj.all],"absolute loyalty | absolute silence | absolute truth | absolute alcohol | ""absolute loyalty""","downright, out-and-out(a), rank(a), right-down, sheer(a), infrangible, inviolable"
absolutist,adjective,pertaining to the principle of totalitarianism [adj.pert],,absolutistic
absolutistic,adjective,pertaining to the principle of totalitarianism [adj.pert],,absolutist
absolved,adjective,freed from any question of guilt [adj.all],"is absolved from all blame | was now clear of the charge of cowardice | his official honor is vindicated | ""is absolved from all blame"" | ""was now clear of the charge of cowardice""","clear, cleared, exculpated, exonerated, vindicated"
absolvitory,adjective,providing absolution [adj.all],,"exonerative, forgiving"
absorbable,adjective,capable of being absorbed or taken in through the pores of a surface [adj.all],,
absorbed,adjective,giving or marked by complete attention to [adj.all] | retained without reflection [adj.all],that engrossed look or rapt delight | then wrapped in dreams | so intent on this fantastic...narrative that she hardly stirred | rapt with wonder | wrapped in thought,"captive, engrossed, enwrapped, intent, wrapped"
absorbefacient,adjective,inducing or promoting absorption [adj.all],,sorbefacient
absorbent,adjective,having power or capacity or tendency to absorb or soak up something (liquids or energy etc.) [adj.all],"as absorbent as a sponge | ""as absorbent as a sponge""",absorptive
absorbing,adjective,capable of arousing and holding the attention [adj.all],"a fascinating story | ""a fascinating story""","engrossing, fascinating, gripping, riveting"
absorptive,adjective,having power or capacity or tendency to absorb or soak up something (liquids or energy etc.) [adj.all],"as absorbent as a sponge | ""as absorbent as a sponge""",absorbent
abstemious,adjective,sparing in consumption of especially food and drink [adj.all] | marked by temperance in indulgence [adj.all],"the pleasures of the table, never of much consequence to one naturally abstemious | ""the pleasures of the table, never of much consequence to one naturally abstemious""- John Galsworthy | abstemious with the use of adverbs | a light eater | a light smoker",light(a)
abstentious,adjective,self-restraining [adj.all],"not totally abstinent but abstemious | not indulging an appetite especially for food or drink | ""not totally abstinent but abstemious""",abstinent
abstinent,adjective,self-restraining [adj.all],"not totally abstinent but abstemious | not indulging an appetite especially for food or drink | ""not totally abstinent but abstemious""",abstentious
abstract,adjective,existing only in the mind [adj.all] | not representing or imitating external reality or the objects of nature [adj.all] | dealing with a subject in the abstract without practical purpose or intention [adj.all],"abstract words like `truth' and `justice' | separated from embodiment | ""abstract words like `truth' and `justice'"" | a large abstract painting | ""a large abstract painting""","abstractionist, nonfigurative, nonobjective"
abstracted,adjective,lost in thought [adj.all],"an absent stare | an absentminded professor | the scatty glancing quality of a hyperactive but unfocused intelligence | showing preoccupation | ""an absent stare""","absent, absentminded, scatty"
abstractionist,adjective,not representing or imitating external reality or the objects of nature [adj.all],"a large abstract painting | ""a large abstract painting""","abstract, nonfigurative, nonobjective"
abstractive,adjective,of an abstracting nature or having the power of abstracting [adj.all],"abstractive analysis | ""abstractive analysis""",
abstruse,adjective,difficult to penetrate [adj.all],"the professor's lectures were so abstruse that students tended to avoid them | a deep metaphysical theory | some recondite problem in historiography | incomprehensible to one of ordinary understanding or knowledge | ""the professor's lectures were so abstruse that students tended to avoid them""","deep, recondite"
absurd,adjective,inconsistent with reason or logic or common sense [adj.all] | incongruous [adj.all],"the absurd predicament of seeming to argue that virtue is highly desirable but intensely unpleasant | ""the absurd predicament of seeming to argue that virtue is highly desirable but intensely unpleasant""- Walter Lippman | the absurd excuse that the dog ate his homework | that's a cockeyed idea | ask a nonsensical question and get a nonsensical answer","cockeyed, derisory, idiotic, laughable, ludicrous, nonsensical, preposterous, ridiculous"
abulic,adjective,suffering from abulia [adj.all],showing abnormal inability to act or make decisions,aboulic
abundant,adjective,present in great quantity [adj.all],"an abundant supply of water | ""an abundant supply of water""",
abused,adjective,used improperly or excessively especially drugs [adj.all] | subjected to cruel treatment [adj.all],"an abused substance | ""an abused substance"" | an abused wife | ""an abused wife""","ill-treated, maltreated, mistreated"
abusive,adjective,expressing offensive reproach [adj.all] | characterized by physical or psychological maltreatment [adj.all],"abusive punishment | argued...that foster homes are abusive | ""abusive punishment"" | ""argued...that foster homes are abusive""","opprobrious, scurrilous"
abuzz,adjective,noisy like the sound of a bee [adj.all],"the room was abuzz over the latest scandal | ""the room was abuzz over the latest scandal""",buzzing
abysmal,adjective,very great [adj.all] | resembling an abyss in depth [adj.all],"abysmal misery | abysmal stupidity | limitless | ""abysmal misery"" | ""abysmal stupidity""","abyssal, unfathomable"
abyssal,adjective,relating to ocean depths from 2000 to 5000 meters [adj.pert] | resembling an abyss in depth [adj.all],"the abyssal depths of the ocean | so deep as to be unmeasurable | ""the abyssal depths of the ocean""","abysmal, unfathomable"
academic,adjective,associated with academia or an academy [adj.pert] | hypothetical or theoretical and not expected to produce an immediate or practical result [adj.all] | marked by a narrow focus on or display of learning especially its trivial aspects [adj.all],"the academic curriculum | academic gowns | ""the academic curriculum"" | ""academic gowns"" | an academic discussion","donnish, pedantic"
acanthoid,adjective,shaped like a spine or thorn [adj.all],,"acanthous, spinous"
acanthotic,adjective,of or relating to or having acanthosis [adj.pert],,
acanthous,adjective,shaped like a spine or thorn [adj.all],,"acanthoid, spinous"
acapnial,adjective,relating to or demonstrating acapnia [adj.pert],,"acapnic, acapnotic"
acapnic,adjective,relating to or demonstrating acapnia [adj.pert],,"acapnial, acapnotic"
acapnotic,adjective,relating to or demonstrating acapnia [adj.pert],,"acapnic, acapnial"
acarpellous,adjective,having no carpels [adj.all],,acarpelous
acarpelous,adjective,having no carpels [adj.all],,acarpellous
acarpous,adjective,producing no fruit [adj.all],,
acatalectic,adjective,(verse) metrically complete [adj.all],especially having the full number of syllables in the final metrical foot,
acaudal,adjective,lacking a tail or taillike appendage [adj.all],,acaudate
acaudate,adjective,lacking a tail or taillike appendage [adj.all],,acaudal
acaulescent,adjective,(of plants) having no apparent stem above ground [adj.all],,stemless
accelerando,adjective,gradually increasing in tempo [adj.all],,
accelerated,adjective,"speeded up, as of an academic course [adj.all]","in an accelerated program in school | ""in an accelerated program in school""",
accelerative,adjective,tending to increase velocity [adj.all],,acceleratory
acceleratory,adjective,tending to increase velocity [adj.all],,accelerative
accented,adjective,used of syllables [adj.all] | bearing a stress or accent [adj.all],"a tonic syllables carries the main stress in a word | ""a tonic syllables carries the main stress in a word"" | an iambic foot consists of an unstressed syllable followed by a stressed syllable as in `delay' | ""an iambic foot consists of an unstressed syllable followed by a stressed syllable as in `delay'""","tonic, stressed"
accentual,adjective,of or pertaining to accent or stress [adj.pert] | (of verse) having a metric system based on stress rather than syllables or quantity [adj.all],"accentual poetry is based on the number of stresses in a line | accentual rhythm | ""accentual poetry is based on the number of stresses in a line"" | ""accentual rhythm""",
acceptable,adjective,worthy of acceptance or satisfactory [adj.all] | judged to be in conformity with approved usage [adj.all] | meeting requirements [adj.all] | adequate for the purpose [adj.all],"acceptable levels of radiation | performances varied from acceptable to excellent | ""acceptable levels of radiation"" | ""performances varied from acceptable to excellent"" | acceptable English usage",satisfactory
acceptant,adjective,accepting willingly [adj.all],"acceptive of every new idea | an acceptant type of mind | ""acceptive of every new idea"" | ""an acceptant type of mind""",acceptive
accepted,adjective,generally approved or compelling recognition [adj.all],"several accepted techniques for treating the condition | his recognized superiority in this kind of work | ""several accepted techniques for treating the condition"" | ""his recognized superiority in this kind of work""","recognized, recognised"
accepting,adjective,tolerating without protest [adj.all],"always more accepting of coaching suggestion than her teammates | the atmosphere was judged to be more supporting and accepting | ""always more accepting of coaching suggestion than her teammates"" | ""the atmosphere was judged to be more supporting and accepting""",
acceptive,adjective,inclined to accept rather than reject [adj.all] | accepting willingly [adj.all],"she was seldom acceptive of my suggestions | ""she was seldom acceptive of my suggestions"" | acceptive of every new idea | an acceptant type of mind | ""acceptive of every new idea""",acceptant
accessary,adjective,aiding and abetting in a crime [adj.all],"he was charged with being accessory to the crime | ""he was charged with being accessory to the crime""",accessory
accessible,adjective,capable of being reached [adj.all] | capable of being read with comprehension [adj.all] | easily obtained [adj.all] | easy to get along with or talk to [adj.all],"a town accessible by rail | ""a town accessible by rail"" | readily accessible to the nonprofessional reader | the tales seem more approachable than his more difficult novels | ""readily accessible to the nonprofessional reader""",approachable
accessional,adjective,of or constituting an accession [adj.pert],,
accessorial,adjective,nonessential but helpful [adj.all],"accessorial services included sorting and packing | ""accessorial services included sorting and packing""",
accessory,adjective,aiding and abetting in a crime [adj.all] | furnishing added support [adj.all],"he was charged with being accessory to the crime | ""he was charged with being accessory to the crime"" | an ancillary pump | an adjuvant discipline to forms of mysticism | The mind and emotions are auxiliary to each other","accessary, adjunct, ancillary, adjuvant, appurtenant, auxiliary"
accident-prone,adjective,having more than the average number of accidents [adj.all],,
accidental,adjective,happening by chance or unexpectedly or unintentionally [adj.all],"with an inadvertent gesture she swept the vase off the table | accidental poisoning | an accidental shooting | ""with an inadvertent gesture she swept the vase off the table"" | ""accidental poisoning""",inadvertent
accipitrine,adjective,of or relating to or belonging to the genus Accipiter (or to typical hawks) [adj.pert],,
acclivitous,adjective,sloping upward [adj.all],,"rising, uphill"
accommodating,adjective,helpful in bringing about a harmonious adaptation [adj.all] | obliging [adj.all],"the warden was always accommodating in allowing visitors in | made a special effort to be accommodating | ""the warden was always accommodating in allowing visitors in"" | ""made a special effort to be accommodating"" | willing to do favors",accommodative
accommodational,adjective,of or relating to the accommodation of the lens of the eye [adj.pert],"accommodational strain | ""accommodational strain""",
accommodative,adjective,helpful in bringing about a harmonious adaptation [adj.all] | willing to adjust to differences in order to obtain agreement [adj.all] | tending to reconcile or accommodate [adj.all],"the warden was always accommodating in allowing visitors in | made a special effort to be accommodating | ""the warden was always accommodating in allowing visitors in"" | ""made a special effort to be accommodating"" | bringing into harmony","accommodating, cooperative, reconciling"
accompanied,adjective,having companions or an escort [adj.all] | playing or singing with instrumental or vocal accompaniment [adj.all],"there were lone gentlemen and gentlemen accompanied by their wives | ""there were lone gentlemen and gentlemen accompanied by their wives""",attended
accompanying,adjective,following or accompanying as a consequence [adj.all],"an excessive growth of bureaucracy, with attendant problems | snags incidental to the changeover in management | attendant circumstances | the period of tension and consequent need for military preparedness | the ensuant response to his appeal","attendant, consequent, concomitant, incidental, ensuant, resultant, sequent"
accomplishable,adjective,capable of existing or taking place or proving true [adj.all],possible to do,"achievable, doable, manageable, realizable"
accomplished,adjective,highly skilled [adj.all] | successfully completed or brought to an end [adj.all] | settled securely and unconditionally [adj.all],"an accomplished pianist | a complete musician | ""an accomplished pianist"" | ""a complete musician"" | his mission accomplished he took a vacation","complete, completed, realized, realised, effected, established"
accordant,adjective,being in agreement or harmony [adj.all] | in keeping [adj.all],"a place perfectly accordant with man's nature | often followed by `with' | ""a place perfectly accordant with man's nature""-Thomas Hardy | salaries agreeable with current trends | plans conformable with your wishes","agreeable, conformable, consonant, concordant"
according,adjective,(followed by `to') in agreement with or accordant with [adj.all] | (followed by `to') as reported or stated by [adj.all],"according to instructions | ""according to instructions"" | according to historians | ""according to historians""",
accountable,adjective,liable to account for one's actions [adj.all],"governments must be accountable to someone beside themselves | fully accountable for what they did | the court held the parents answerable for their minor child's acts of vandalism | he was answerable to no one | ""governments must be accountable to someone beside themselves""",
accoutered,adjective,provided with necessary articles of equipment for a specialized purpose (especially military) [adj.all],"troops accoutered for battle | properly accoutered for the trip | ""troops accoutered for battle"" | ""properly accoutered for the trip""",accoutred
accoutred,adjective,provided with necessary articles of equipment for a specialized purpose (especially military) [adj.all],"troops accoutered for battle | properly accoutered for the trip | ""troops accoutered for battle"" | ""properly accoutered for the trip""",accoutered
accredited,adjective,given official approval to act [adj.all],"an accredited college | commissioned broker | licensed pharmacist | authorized representative | ""an accredited college""","commissioned, licensed, licenced"
accretionary,adjective,marked or produced by accretion [adj.all],,
accretive,adjective,growing by accretion [adj.all],,
accrued,adjective,periodically accumulated over time [adj.all],"accrued interest | accrued leave | ""accrued interest"" | ""accrued leave""",accumulated
acculturational,adjective,of or relating to acculturation [adj.pert],,acculturative
acculturative,adjective,of or relating to acculturation [adj.pert],,acculturational
accumbent,adjective,lying down [adj.all],in a position of comfort or rest,"decumbent, recumbent"
accumulated,adjective,periodically accumulated over time [adj.all],"accrued interest | accrued leave | ""accrued interest"" | ""accrued leave""",accrued
accumulative,adjective,increasing by successive addition [adj.all] | marked by acquiring or amassing [adj.all],"the benefits are cumulative | the eventual accumulative effect of these substances | ""the benefits are cumulative"" | ""the eventual accumulative effect of these substances"" | we live in an accumulative society",cumulative
accurate,adjective,"conforming exactly or almost exactly to fact or to a standard or performing with total accuracy [adj.all] | (of ideas, images, representations, expressions) characterized by perfect conformity to fact or truth [adj.all]","an accurate reproduction | the accounting was accurate | accurate measurements | an accurate scale | ""an accurate reproduction""","exact, precise"
accursed,adjective,under a curse [adj.all],,"accurst, maledict"
accurst,adjective,under a curse [adj.all],,"accursed, maledict"
accusative,adjective,containing or expressing accusation [adj.all] | serving as or indicating the object of a verb or of certain prepositions and used for certain other purposes [adj.pert],"an accusitive forefinger | black accusatory looks | accusive shoes and telltale trousers | his accusing glare | ""an accusitive forefinger""","accusatory, accusing, accusive, objective"
accusatorial,adjective,specifically indicating a form of prosecution in which one is publicly accused of and tried for a crime and in which the judge is not also the prosecutor [adj.pert],,
accusatory,adjective,containing or expressing accusation [adj.all],"an accusitive forefinger | black accusatory looks | accusive shoes and telltale trousers | his accusing glare | ""an accusitive forefinger""","accusative, accusing, accusive"
accusing,adjective,containing or expressing accusation [adj.all],"an accusitive forefinger | black accusatory looks | accusive shoes and telltale trousers | his accusing glare | ""an accusitive forefinger""","accusative, accusatory, accusive"
accusive,adjective,containing or expressing accusation [adj.all],"an accusitive forefinger | black accusatory looks | accusive shoes and telltale trousers | his accusing glare | ""an accusitive forefinger""","accusative, accusatory, accusing"
accustomed,adjective,(often followed by `to') in the habit of or adapted to [adj.all] | commonly used or practiced [adj.all],"accustomed to doing her own work | I've grown accustomed to her face | ""accustomed to doing her own work"" | ""I've grown accustomed to her face"" | his accustomed thoroughness","customary, habitual, wonted(a)"
ace,adjective,of the highest quality [adj.all],an ace reporter | a crack shot | a first-rate golfer | a super party | played top-notch tennis,"A-one, crack, first-rate, super, tiptop, topnotch, top-notch, tops(p)"
acellular,adjective,not made up of or divided into cells [adj.all],,noncellular
acentric,adjective,lacking a centromere [adj.pert] | not centered or having no center [adj.all],"an acentric chromosome fragment | ""an acentric chromosome fragment""",
acephalous,adjective,lacking a head or a clearly defined head [adj.all],"acephalous worms | ""acephalous worms""",
acerate,adjective,narrow and long and pointed [adj.all],as pine leaves,"acerose, acicular, needle-shaped"
acerb,adjective,sour or bitter in taste [adj.all],,"acerbic, astringent"
acerbic,adjective,sour or bitter in taste [adj.all],,"acerb, astringent"
acerose,adjective,narrow and long and pointed [adj.all],as pine leaves,"acerate, acicular, needle-shaped"
acervate,adjective,pertaining to a growth of fungi that forms a heaped-up mass [adj.pert],"acervate fungous sporophores | ""acervate fungous sporophores""",
acetabular,adjective,of the cup-shaped socket that receives the head of the thigh bone [adj.all],,"cotyloid, cotyloidal"
acetic,adjective,relating to or containing acetic acid [adj.pert],,
acetonic,adjective,of or relating to acetone [adj.pert],,
acetose,adjective,tasting or smelling like vinegar [adj.all],,"acetous, vinegary, vinegarish"
acetous,adjective,tasting or smelling like vinegar [adj.all],,"acetose, vinegary, vinegarish"
acetylenic,adjective,of or related to acetylene [adj.pert],,
acetylic,adjective,of or related to acetic acid [adj.pert],,
achaean,adjective,of or relating to Achaea or its ancient Greek people [adj.pert],,
achenial,adjective,pertaining to dry one-seeded indehiscent fruit [adj.pert],,
acheronian,adjective,dark and dismal as of the rivers Acheron and Styx in Hades [adj.all],"in the depths of an Acheronian forest | upon those roseate lips a Stygian hue | ""in the depths of an Acheronian forest"" | ""upon those roseate lips a Stygian hue""-Wordsworth","Acherontic, Stygian"
acherontic,adjective,dark and dismal as of the rivers Acheron and Styx in Hades [adj.all],"in the depths of an Acheronian forest | upon those roseate lips a Stygian hue | ""in the depths of an Acheronian forest"" | ""upon those roseate lips a Stygian hue""-Wordsworth","Acheronian, Stygian"
achievable,adjective,capable of existing or taking place or proving true [adj.all],possible to do,"accomplishable, doable, manageable, realizable"
aching,adjective,causing a dull and steady pain [adj.all],"my aching head | her old achy joints | ""my aching head"" | ""her old achy joints""",achy
achlamydeous,adjective,not having a floral envelope or perianth [adj.all],,
achlorhydric,adjective,lacking hydrochloric acid [adj.pert],,
achondritic,adjective,of or related to an achondrite [adj.pert] | not having a granular structure [adj.all],,
achondroplastic,adjective,of or relating to achondroplasia [adj.pert],,
achromatic,adjective,having no hue [adj.all],"neutral colors like black or white | ""neutral colors like black or white""",neutral
achromatinic,adjective,(of substance of a cell nucleus) not readily colored by stains [adj.pert],,
achromatous,adjective,having little or inadequate color [adj.all],,
achromic,adjective,having no color [adj.all],,achromous
achromous,adjective,having no color [adj.all],,achromic
achy,adjective,causing a dull and steady pain [adj.all],"my aching head | her old achy joints | ""my aching head"" | ""her old achy joints""",aching
acicular,adjective,narrow and long and pointed [adj.all],as pine leaves,"acerate, acerose, needle-shaped"
aciculate,adjective,related to plants or animals or crystals having aciculae or needlelike parts [adj.pert],,
acid,adjective,being sour to the taste [adj.all] | having the characteristics of an acid [adj.all],"an acid reaction | ""an acid reaction""","acidic, acidulent, acidulous"
acid-fast,adjective,not easily decolorized by acid solutions [adj.all],pertains to micro-organisms (especially the tubercle bacillus that causes tuberculosis),
acid-forming,adjective,yielding an acid in aqueous solution [adj.all],,
acid-loving,adjective,thriving in a relatively acidic environment (especially of plants requiring a pH well below 7) [adj.all],,
acid-tasting,adjective,having a sour acidic taste [adj.all],,sour-tasting
