direction,headword,definition
en,A;dgwealthyrich having abundant financial means,wealthier | wealthiest
en,AAA,authentication authorization and accounting computer security protocol | authentication | authorization and accounting | computer security protocolM
en,AAAS,American Association for the Advancement of Science
en,Aachen,city in western Germany
en,Aal,Indian mulberry
en,Aam,Dutch and German measure of liquids
en,AAP,Association of American Publishers
en,aardvark,type of African ant bear
en,aardwolf,African striped hyena that feeds mainly on insects
en,Aarhus,port city in Denmark
en,Aaron,the elder brother of Moses
en,Aaronic,of priests
en,Aaronical,of priests
en,AARP,Association for the Advancement of Retired Persons
en,AAS,associate degree in applied science
en,aasvogel,type of South African vulture
en,AAU,Amateur Athletic Union
en,ab initio,from the beginning
en,ab ovo,from the begining lit. 'from the egg'
en,ab-,away
en,aba,abaya
en,Abaca,Philippine banana tree
en,abacinate,to cause blindness using a red-hot metal
en,aback,to the back backwards | to the back | backwardsB
en,abacterial,not bacterial
en,abacus,abacuses abaci
en,abada,rhinoceros
en,Abaddon,Apollyon angel of hell | hell
en,abaft,at the stern of a ship
en,abaisance,obeisance bowing | obeisance | bowing
en,abaist,confounded abashed
en,abalone,ear-shell
en,abampere,unit of electric current equal to 10 amperes
en,aband,to abandon; to expel
en,abandon,reckless freedom from inhibition or worry | to give up (an action or practice) completely; to forsake to leave behind
en,abandoned,deserted
en,abandonedly,in an unrestrained manner
en,Abarim,mountain range across Jordan
en,abarognosis,lack of ability to sense weight
en,abase,to degrade to humiliate
en,abash,to embarrass to cause (smo) to feel ashamed
en,abashedly,with embarrassment
en,abasia,inability to walk
en,abasic,relating to abasia | relating to abasia (inability to walk)
en,abate,to annul to remove | to become reduced | to calm to reduce | to become reducedM
en,abatement,decrease in the severity of a symptom
en,abater,smo who abates
en,abatic,relating to abasia (inability to walk)
en,abatis,a barrier of felled trees used as a defense line
en,abatisa barrier of felled trees used as a defense line,abattis | abbattis
en,abator,smo who abates
en,abattoir,a slaughterhouse
en,abaxial,far from the axis or the stem
en,abaxile,abaxial
en,abay,barking
en,abaya,long sleeveless garment
en,abb,an abbot
en,abbacy,the office of an abbot
en,abbatial,of an abbey
en,abbess,mother superior
en,abbey,church of a monastery | monastery | church of a monasteryB
en,abbot,head of an abbey
en,abbotship,abbacy
en,abbrev.,abbreviation
en,abbreviate,to shorten to abridge | to shorten | to abridgeR
en,abbreviated,shortened abridged
en,abbreviation,a shorten form (e.g. of a text); act of shortening or abridging
en,abbreviator,mso who abbreviates
en,abbreviatory,abridging
en,abbreviature,an abbreviation
en,Abbyville,city in Kansas USA
en,ABC,American Broadcasting Company
en,Abc,the ABC; the basics of a subject
en,Abd al-Malik,Caliph of the Umayyad dynasty (646-705)
en,Abdal,a dervish in Iran
en,Abdera,town in north Greece
en,abderian,foolish
en,Abderite,resident of Abdera
en,abdicable,capable of being discarded or renounced
en,abdicate,to give up (office) to resign
en,abditive,can hide having an ability to hide
en,abditory,hiding place for valuable things
en,abdomino-,of the abdomen
en,abdominohysterectomy,abdominal hysterectomy
en,abdominohysterotomy,abdominal hysterotomy
en,abdominoscopy,laparoscopy
en,abdominothoracic,of the abdomen and the thorax
en,abdominovaginal,of the abdomen and the vagina
en,abduct,to move away from the midline of the body | to kidnap
en,abduction,kidnapping
en,abductor,a kidnapper
en,Abdullah Ocalan,Kurdish leader
en,abeam,at a right angle to the body of the ship
en,abear,to bear to endure; to behave | to bear | to endure; to behave
en,abearance,behavior
en,abecedarius,poem of which the lines begin with letters by the alphabet order
en,abele,white poplar (type of tree)
en,abelia,type of shrub
en,abelmosk,type of evergreen shrub cultivated for its seeds; from Arabic lit. 'musk seeds'
en,ABEND,'ABnormal END' unexpected error in a computer program
en,Aberdeen,city in northeastern Scotland
en,Aberdevine,small finch of yellow and green colors
en,aberr,to stray to wander
en,aberrance,deviance deviation from the norm
en,aberrancy,abnormality state of deviation from the norm
en,aberrantly,abnormally
en,aberrate,to diverge to deviate | to diverge | to deviate
en,aberration,deviance deviation from the norm
en,aberuncate,to rid of to weed out | to rid of | to weed out
en,abet,to assist or encourage (usu. in doing smth wrong)
en,abetment,instigation encouraging to do smth
en,abetter,instigator
en,abetting,instigating encouraging to do smth
en,abettor,instigator
en,abeyance,suspension temporary halt
en,abeyant,suspended temporarily out of use
en,abhominal,not human inhuman
en,abhor,to loathe to deteste | to loathe | to deteste
en,abhorrence,detestation loathing | detestation | loathingD
en,abhorrent,detestable abominable | detestable | abominableD
en,abhorrible,abhorrent detestable | abhorrent | detestable
en,Abiathar,son of Ahimelech
en,abide,to dwell to live | to put up with to endure to accept | to dwell | to liveF | abode | abidedabided
en,abide by,to obey
en,abider,smo who abides
en,abiding,dwelling
en,Abidjan,city in the Ivory Coast
en,abience,an urge to withdraw or avoid a situation
en,abient,tending to withdraw or avoid a situation
en,abietic,relating to the fir tree
en,Abilene,city in Texas USA; city in Kansas USA
en,abime,abyss
en,abiogenesis,spontaneous generation hypothetical formation of life from non-living matter
en,abiological,not biological
en,abiotic,not living
en,abiotrophy,degeneration of cells or tissues
en,abirritation,debility weakness
en,abjectly,resignedly
en,abjudicate,to reject by judicial means
en,abjudication,rejection by judicial means
en,abjugate,to remove the yoke from | to free
en,abjunctive,exceptional
en,abjuration,repudiation renunciation
en,abjure,to deny to reject formally
en,ablactate,to wean (a baby)
en,ablate,to remove by cutting or melting
en,ablative,relating to ablation involving removal of a tissue or destroying its function (of a procedure) | of the ablative case
en,ablaut,a vowel change which reflects a change in the word's grammatical role
en,ablaze,very excited | on fire flaming
en,able,abler ablest
en,ablegate,a Papal legate
en,ableism,discrimination against people with disabilities
en,ablen,type of fresh-water fish
en,ableness,vigor ability (of mind or body) | vigor | ability (of mind or body)
en,ablepharia,absence of eyelids
en,ablephary,absence of eyelids
en,abligate,to tie up
en,abligurition,spending excessively on food or drink
en,ablins,perhaps
en,ablude,to be different to differ
en,ablush,blushful
en,ablutomania,mania for washing
en,ably,aptly skillfully capably
en,abmho,unit for measuring conductance
en,ABN,airborne
en,abnegate,to deny to renounce to abstain | to deny | to renounce | to abstainB
en,abnegator,smo one renounces
en,abnodate,to free from knots
en,abnormal,not normal irregular | not normal | irregularD
en,abnormalcy,abnormality
en,abnormally,in an abnormal way
en,Abo,Aborigine
en,aboard,part of a group | beside alongside | on board (a ship train etc.) | beside | alongside | on board (a ship | train etc.)
en,abode,a home a house a residence | a home | a house | a residenceY |
en,abode abided,abided
en,aboding,omen foreboding
en,abolish,to put end to to cancel
en,abolishable,can be cancelled
en,abolition,abolishment
en,abolitionism,the doctrine of opposition to slavery
en,aboma,Boa aboma large serpent living in South America
en,abomasum,the fourth stomach (in ruminants)
en,abominable,detestable awful | detestable | awfulA
en,abominably,in a hateful manner atrociously | in a hateful manner | atrociously
en,aboon,above
en,Abor,language spoken in northeast India and west Burma
en,aborad,aboral away from the mouth
en,aboral,away from the mouth
en,abord,to approach
en,Aborigine,a native Australian an indigenous person of Australia
en,aborigine,a native inhabitant
en,aborning,while being created
en,abortifacient,abortion-inducing drug | abortion-inducing | abortion-inducing drugM | abortion-inducingM
en,abortional,relating to abortion
en,abortively,unsuccessfully
en,abortus,fetus that is removed from the mother's body
en,aboulia,lack of will power
en,abounding,abundant
en,about-face,a total change in point of view | reversing of direction turning 180 degrees
en,above and beyond,too much
en,above ground,alive | above the ground | alive
en,above-board,open without covering fair candid | in an open or fair manner
en,aboveground,above the ground level
en,abovementioned,above mentioned
en,abovesaid,above mentioned
en,ABP,archbishop
en,abra,a narrow pass
en,abrachia,absence of the arms
en,abrade,to wear away to scrape off
en,Abraham,the first of the Bible patriarchs the father of Isaac
en,Abraham ibn Ezra,distinguished Jewish men of letters during the Middle Ages (1092-1167)
en,Abrahamitic,Relating to the patriarch Abraham
en,abraid,to awake to arouse
en,Abramis,genus of freshwater fish containing the breams
en,abrase,to wear
en,abrasively,roughly bluntly harshly
en,abraum,red ocher
en,abraxas,mystical word engraved on gems; gem with such an engraving
en,abray,to awake to arouse to abraid
en,abreact,to discharge emotions by acting out
en,abreaction,catharsis | purging of emotional tensions
en,abreast,side by side
en,abridge,to shorten to reduce (e.g. of a text)
en,abridged,shortened (e.g. of a text)
en,abridgement,summarization reduction
en,abridger,abbreviator
en,abroach,broached pierced open
en,abrogate,put an end to formally cancel
en,abrogation,annulment legal cancellation | annulment | legal cancellationM
en,abronia,type of North American shrub
en,abrupt,extremely steep | steep | sudden brusque | steep | sudden | brusque |
en,abruptly,suddenly; steeply | suddenly; steeplyC
en,abrus,tropical plant genus
en,Abruzzi,mountainous region in Italy
en,ABS,antilock braking system
en,abscession,abscess | removal separation
en,abscind,to remove to cut off | to remove | to cut off
en,abscise,to remove to cut off | to remove | to cut off
en,abscision,cutting off removal
en,abscissa,abscissae abscissas
en,abscission,cutting off
en,absconce,dark lantern
en,abscond,to dodge to flee secretly to make off
en,abscondence,escaping secretly
en,absconder,a fugitive a runaway | a fugitive | a runaway
en,absconding,escaping secretly
en,abscondment,act of leaving suddenly or secretly
en,abseil,to rope down
en,absence,the state of being away (from a place); lack non-existence
en,absent,without | not present
en,absent oneself,to go away
en,absentee,smo who is absent | smo who is absentR
en,absently,absentmindedly
en,absentminded,abstracted forgetful | abstracted | forgetful
en,absentmindedly,abstractedly
en,absinth,strong green liqueur
en,absinthe,type of herbaceous plant | strong green liqueur
en,absinthe wormwood,absinthium | type of wormwood
en,absinthism,a disorder associated with drinking too much absinthe
en,absinthium,absinthe wormwood type of wormwood
en,absis,apsis domed recess
en,absist,to desist | to stand far from | to stand far from
en,absolute zero,the lowest temperature theoretically possible 0 degrees Kelvin (-273.15 Celsius)
en,absoluteness,being absolute; completeness | being absolute; completenessB
en,absolution,remittal being formaly forgiven | remittal | being formaly forgivenb
en,absolutism,dictatorship; totalitarianism | dictatorship; totalitarianismB
en,absolutist,relating to totalitarianism
en,absolutistic,relating to totalitarianism
en,absolutory,absolving
en,absolvable,pardonable forgivable | pardonable | forgivable
en,absolve,to acquit to forgive | to acquit | to forgive&A#&A
en,absolvitory,forgiving exonerative | forgiving | exonerative
en,absonous,inharmonious incongruous
en,absorb,to take up (the costs or debts) | to imbibe to take in | to imbibe | to take in
en,absorbency,the ability to soak up liquids easily
en,absorbent,a substance which can soak up liquids easily | can soak up liquids easily
en,absorbent cotton,cotton wool
en,absorber,material that absorbs radiation (in a nuclear reactor) | smth or smo which absorbs
en,absorbingly,in an absorbing manner
en,absorbition,absorption
en,absorptance,coefficient of absorption
en,absquatulate,to make off to run away (and usu. take smth along)
en,abstain,to refrain from voting | (make ~) | to refrain from to decide not to consume | to refrain from votingMM
en,abstemious,not self-indulgent satisfied with little
en,abstemiousness,austerity moderation | austerity | moderation
en,absterge,to wipe away to cleanse
en,abstersion,purging cleansing
en,abstersive,purging cleansing
en,abstinence,abstention abstaining | abstention | abstainingB
en,abstinency,abstaining forbearance
en,abstinently,with forbearance
en,abstract,to give an abstract of | a summary (e.g. of an article) | theoratical not concrete | to give an abstract ofB
en,abstractedness,absent-mindedness
en,abstraction,taking the property of another | act of abstracting | making (smth) abstract; absentmindedness | making (smth) abstract; absentmindednessB
en,abstractness,quality of being abstract
en,abstruse,hard to penetrate or understand
en,abstruseness,obscureness abstrusity
en,abstrusity,obscureness abstruseness
en,absume,to consume gradually
en,absumption,extinction | wasting away consuming
en,absurd,ridiculous not reasonable foolish
en,absurdism,irrationality
en,abuilding,in the process of building
en,Abuja,capital city of Nigeria
en,Abul Kasim,Arab physician and scientist; considered the father of modern surgery (936-1013)
en,Abulcasis,Abu al-Qasim al-Zahrawi Arab physician and scientist; considered the father of modern surgery (936-1013)
en,abulia,lack of will power
en,abulic,suffering from abulia | suffering from abuliaaboulic
en,Abuna,patriarch of the Abyssinian church lit. 'our father'
en,abundance,copiousness richness plenty great quantity
en,abundant,plentiful found in great quantity
en,abundantly,in an abundant manner | in an abundant mannerC |
en,abusable,can be abused
en,abuse,%b | bad treatment; misuse; bad language
en,abusion,abuse
en,abusively,in an abusive manner
en,abut,to lean on | to be adjacent to border to have a common border
en,Abutilon,genus of evergreens
en,abuttal,boundary
en,abutting,adjacent bordering having a common border
en,abuzz,buzzing
en,abvolt,potential unit equal to one hundred millionth of a volt
en,aby,to atone to make amends for | to atone | to make amends for
en,abye,to atone to make amends for | to atone | to make amends for
en,abysm,abyss
en,abysmal,very deep bottomless | very deep | bottomlessQ
en,abysmally,immeasurably in a terrible manner
en,abyss,hell | a deep chasm
en,abyssal,very deep bottomless of an abyss
en,Abyssinia,Ethiopia
en,acacia,tree of warm climates with yellow flowers
en,acacin,gum arabic
en,Academe,garden in Athens where Plato taught
en,academia,academic environment the academic world | academic environment | the academic world |
en,academial,academic
en,academian,an academy member
en,academicianship,academy membership
en,Academy Award,the Oscar
en,Acadia,former French colony in southeastern Canada
en,Acadian,the early French settler in Acadia (southeastern Canada)
en,acajou,the cashew tree or its fruit
en,acalculia,inability to perform calculations
en,acaleph,type of stinging jelly fish
en,acalephan,type of stinging jelly fish
en,acanth,acanthus
en,acantha,spine; spiny part or structure
en,acanthaceous,prickly having sharp points | prickly | having sharp points
en,acanthesthesia,abnormal sensation of a point pricking the body
en,acanthine,relating to acanthus
en,Acanthocephala,spiny-headed worms
en,acanthocytosis,blood disorder characterized by the presence of acanthocytes
en,acanthoid,spiny shaped as a thorn
en,acantholysis,disease of the skin
en,acanthoma,skin tumor
en,acanthopterygian,spiny-finned fish
en,acanthurus,type of fish found in tropical oceans
en,acanthus,acanthi
en,acapnia,low level of carbon dioxide in the blood
en,Acapulco,port and resort city on southern Mexico
en,acaricide,substance for killing mites and ticks
en,Acarina,order containing the mites and ticks
en,acaroid,resembling a mite
en,acarology,the study of mites and ticks
en,acarpous,unfruitful producing no fruit
en,acarus,a mite
en,acarusa mite,acari
en,acatalasia,absence of catalase
en,acatalectic,metrically complete (Poetry)
en,acatalepsia,incomprehensibility the impossibility of comprehending
en,acates,cates
en,acaudal,tailless having not tail
en,acaudate,tailless having not tail
en,acaulescent,stemless having a short apparent stem
en,accede,to enter (an office) | to join to become a party to a treaty | to consent to agree
en,accedence,acceptance consenting | acceptance | consenting
en,acceder,smo who accedes
en,acceding,assenting acquiescing | assenting | acquiescingR |
en,accelerando,gradually increasing (of tempo) | tempo of music that is gradually increasing
en,accelerative,acceleratory tending to increase velocity
en,accelerator,the gas pedal | substance that accelerates a chemical process
en,acceleratory,acceleratory tending to increase velocity
en,accend,to kindle to set fire | to kindle | to set fire
en,accension,ignition kindling
en,accent,to stress to accentuate
en,accenting,emphasizing
en,accentor,type of songbird
en,accentual,emphasized; relating to accent
en,accentuate,to stress to emphasize
en,accept,to consent to receive to regard as true
en,acceptability,the quality of being acceptable
en,acceptable,can be accepted
en,acceptableness,the quality of being acceptable
en,acceptably,in an acceptable manner
en,acceptedly,in an accepted manner
en,accepter,smo who accepts
en,acceptilation,free remission release from a debt without payment
en,acception,acceptance
en,acceptive,inclined to accept
en,access,to gain access to to approach | admission the right to enter; way or means of entering; act of approaching
en,accessary,smo who helps another person to commit a crime
en,accessibly,in an accessible manner
en,accession,smth added an addition | attainment (of a high position); acceptance (of a treaty) joining (an association)
en,accessive,accessory additional | accessory | additional
en,accessory,smo who helps another person to commit a crime
en,accessory nerve,the eleventh cranial nerve
en,accidentalness,being incidental | fortuitousness occurring by chance
en,accidently,accidentally
en,accidie,sloth laziness; torpor
en,accipiter,type of hawk
en,Accipiter nisus,sparrow hawk
en,Accipitriformes,diurnal birds of prey
en,accismus,affected refusal
en,acclamation,applause shout of approval
en,acclimate,acclimatize
en,acclimatization,acclimatisation
en,acclimatize,become adapted to new conditions
en,acclivity,slope which goes up
en,acclivous,going upward (of a slope)
en,accoil,to gather to collect | to gather | to collect
en,accolade,a ceremonial embrace | approval praise award
en,Accomac,town in Virginia USA | town in Virginia | USA
en,accommodate,to lodge to provide housing for | to make (smth) fit to adapt (smth); to become adapted | to lodge | to provide housing forA |
en,accommodating,obliging cooperative willing to adjust | obliging | cooperative | willing to adjustA |
en,accommodatingly,in an accommodating manner
en,accommodation,adjustment | housing lodging
en,accommodationist,smo who adapts to opposing views
en,accommodative,obliging cooperative willing to adjust | obliging | cooperative | willing to adjustA |
en,accompanier,smo who accompanies
en,accompaniment,musical accompaniment | smth that supplements or accompanies; act of accompanying | musical accompanimentC
en,accompanist,smo who provides accompaniment (usually on a piano)
en,accompany,to come with; to go or travel along with | to come with; to go or travel along withC
en,accompanyist,accompanist smo who provides accompaniment (usually on a piano) | accompanist | smo who provides accompaniment (usually on a piano)
en,accompliceship,complicity the state of being an accomplice
en,accomplish,finish complete; execute
en,accomplishable,achievable possible to do
en,accomplished,skilled | finished complete
en,accomplisher,smo who accomplishes
en,accompt,an account
en,accordance,act of granting | conformity agreement | conformity | agreementD |
en,accordancy,accordance
en,accordant,suitable
en,accorder,smo who accords or agrees
en,according as,depending on whether; if
en,according to,as stated by; in agreement with
en,accordingly,therefore
en,accordment,agreement
en,accost,to approach (smo) to solicit | to approach (smo) | to solicit
en,accouchement,childbirth
en,accoucheur,man which acts as a midwife
en,account for,to give reasons for; to be the reason or explanation for | to be responsible for | to be responsible for
en,accountableness,responsibility
en,accountably,in an explainable manner
en,accountant,smo who audits and maintains accounts
en,accounter,to ascribe to assign | to ascribe | to assign
en,accouplement,coupling; union
en,accourt,to court to treat courteously
en,accouter,to equip to provide
en,accoutrement,accouterment equipment; soldier's war equipment
en,accoy,to tame to subdue
en,Accra,capital of Ghana
en,accreditate,to give credit
en,accreditation,act of granting credit; authorization
en,accredited,licensed certified
en,accrescence,continuous growth
en,accrescent,increasing growing
en,accrete,grow slowly form by accumulation
en,accretion,gradual build-up growth
en,accretionary,increasing growing
en,accretive,increasing growing
en,accroach,to obtain to usurp
en,accrual,accumulation
en,accruement,accrual accumulation | accrual | accumulation
en,accrument,process of accruing increase | process of accruing | increase
en,accubation,reclining
en,acculturate,to assimilate culturally
en,acculturating,assimilating culturally
en,acculturative,relating to acculturation
en,accumb,to recline
en,accumbent,lying reclining
en,accumulate,to collect or gather; to build up | to get or gather together
en,accuracy,precision exactness the quality of being accurte
en,accurateness,accuracy exactness precision
en,accursedness,being cursed
en,accurst,accursed
en,accusable,can be accused
en,accusant,accuser
en,accusatival,of the accusative case
en,accusatorial,accusatory
en,accuse,to blame for to charge
en,accusingly,in an accusing manner | in an accusing manner%b
en,accusive,accusative accusing
en,accustomed,usual habitual; having the habit (of) used (to)
en,accustomedness,habituation
en,ace,to succeed at | very good superior | playing card with a single pip unity
en,Aceh,special territory of Indonesia
en,Aceldama,Akeldama
en,acelomate,having no body cavity
en,Acephala,division of the Mollusca
en,acephali,Christian sect without a leader
en,acephalia,absence of head
en,acephalous,having no leader | having no head
en,acequia,waterway used for irrigation from Arabic 'al saqiya'
en,Acer,genus Acer tree of the Maples
en,Acer rubrum,red maple tree
en,Aceraceae,Maple Family family of trees including the maples
en,acerate,long and narrow needle-shaped
en,acerb,bitter in taste acerbic
en,acerbic,sharp bitter; harsh in tone | sharp | bitter; harsh in toneK
en,acerola,tropical American shrub or its fruit
en,acerose,long and narrow needle-shaped
en,acervate,clustered
en,acervation,accumulation
en,acetabular,relating to the acetabulum
en,acetabulectomy,excision of the acetabulum
en,acetabulum,cavity on the side of the hipbone
en,acetabulumcavity on the side of the hipbone,acetabula | acetabulums
en,acetal,organic compound
en,acetaldehyde,ethanal colorless volatile liquid aldehyde used in the manufacture of perfumes and drugs
en,acetaminophen,an analgesic drug | an analgesic drugQ
en,acetanilide,an analgesic drug
en,acetarious,used in salads
en,acetate,salt of acetic acid
en,acetin,liquid acetate | formed when acetic acid and glycerin are heated together
en,acetol,water-soluble colorless liquid
en,acetose,tasting like vinegar
en,acetous,tasting like vinegar
en,acetum,vinegar solution
en,acetyl,acetyl group CH3CO
en,acetylcholine,a neurotransmitter
en,Achaean,inhabitant of one of four divisions of the prehistoric Greeks
en,Achaian,inhabitant of one of four divisions of the prehistoric Greeks
en,Achates,a loyal companion
en,ache,to feel pain to hurt | to feel pain | to hurtM
en,acheilia,absence of the lips
en,acheiria,absence of a hand or of both hands
en,achene,small and dry indehiscent fruit
en,achenial,relating to achene
en,Acheron,river in Hades
en,Acheronian,dark dismal; of the Acheron river
en,Acherontic,dark dismal; of the Acheron river
en,achievability,being achievable feasibility | being achievable | feasibility
en,achieve,to accomplish to attain
en,achiever,succeeder smo who achieves
en,achillea,type of plant
en,Achillean,invincible
en,Achilles,Greek mythological hero
en,Achilles tendon,tendon connecting the heel to the leg calf muscle
en,Achilles' heel,a point of weakness
en,achillodynia,inflammation of the Achilles tendon
en,achiness,a state of pain
en,aching,hurting dull persistent pain | hurting | dull persistent painM
en,achiote,tropical American evergreen shrub or its seed
en,achlamydeous,having no floral envelope
en,acholia,lack of bile secretion
en,achromasia,lack of skin pigmentation
en,achromat,monochromat
en,achromaticity,colorlessness
en,achromatism,colorlessness
en,achromatopsia,monochromatic vision
en,achronic,rising at sunset and setting at sunrise (of a star)
en,achylia,absence of gastric juice
en,acicular,long and narrow needle-shaped
en,acid reflux,heartburn
en,acid test,a rigorous or crucial appraisal
en,acid-fast,acid resisting
en,acid-fastness,acid resistance
en,acid-test ratio,ability of a firm to cover its current liabilities
en,Acidalia,epithet of Aphrodite
en,acidemia,blood disorder state of low blood pH
en,acidify,to make sour or acid; to become acid
en,acidophile,organism that thrives in acidic environment
en,acidophilic,thrives in acidic environment
en,acidophilous,thrives in acidic environment
en,acidotic,of acidosis
en,acidulate,to make sour
en,acidum,acid
en,acinitis,inflammation of an acinus
en,acinous,of grapelike shape (a gland)
en,acinus,small saclike dilation (in a gland)
en,ack,to acknowledge
en,ack-ack,antiaircraft gun
en,aclinic,without inclination
en,ACLU,American Civil Liberties Union
en,acme,peak top the highest level or point
en,acne rosacea,skin disease
en,acneiform,resembling acne
en,acnode,an isolated point
