headword,definition
aarhus,[noun] port city of Denmark in eastern Jutland [noun.location]
aaron,[noun] United States professional baseball player who hit more home runs than Babe Ruth (born in 1934) [noun.person] | (Old Testament) elder brother of Moses and first high priest of the Israelites [noun.person]
aaron burr,[noun] United States politician who served as vice president under Jefferson [noun.person]
aaron copland,[noun] United States composer who developed a distinctly American music (1900-1990) [noun.person]
aaron montgomery ward,[noun] United States businessman who in 1872 established a successful mail-order business (1843-1913) [noun.person]
aaron's rod,[noun] tall-stalked very woolly mullein with densely packed yellow flowers [noun.plant]
aarp,[noun] an association of people to promote the welfare of senior citizens [noun.group]
aas,[noun] an associate degree in applied science [noun.communication]
aave,[noun] a nonstandard form of American English characteristically spoken by African Americans in the United States [noun.communication]
ab,[noun] a bachelor's degree in arts and sciences [noun.communication] | the eleventh month of the civil year [noun.time] | the muscles of the abdomen [noun.body] | the blood group whose red cells carry both the A and B antigens [noun.body]
ab initio,[adverb] at the beginning [adv.all]
aba,[noun] a loose sleeveless outer garment made from aba cloth [noun.artifact] | a fabric woven from goat hair and camel hair [noun.artifact]
aba transit number,[noun] an identification number consisting of a two-part code assigned to banks and savings associations [noun.communication]
abaca,[noun] a kind of hemp obtained from the abaca plant in the Philippines [noun.substance] | Philippine banana tree having leafstalks that yield Manila hemp used for rope and paper etc [noun.plant]
abacinate,[verb] blind by holding a red-hot metal plate before someone's eyes [verb.perception]
aback,[adverb] having the wind against the forward side of the sails [adv.all] | by surprise [adv.all]
abactinal,[adjective] (of radiate animals) located on the surface or end opposite to that on which the mouth is situated [adj.all]
abacus,[noun] a tablet placed horizontally on top of the capital of a column as an aid in supporting the architrave [noun.artifact] | a calculator that performs arithmetic functions by manually sliding counters on rods or in grooves [noun.artifact]
abadan,[noun] a port city in southwestern Iran [noun.location]
abaft,[adverb] at or near or toward the stern of a ship or tail of an airplane [adv.all]
abalone,[noun] any of various large edible marine gastropods of the genus Haliotis having an ear-shaped shell with pearly interior [noun.animal]
abamp,[noun] a unit of current equal to 10 amperes [noun.quantity]
abampere,[noun] a unit of current equal to 10 amperes [noun.quantity]
abandon,"[noun] the trait of lacking restraint or control [noun.attribute] | a feeling of extreme emotional intensity [noun.feeling] | forsake, leave behind [verb.possession] | give up with the intent of never claiming again [verb.possession] | leave behind empty [verb.motion] | stop maintaining or insisting on [verb.cognition] | leave someone who needs or counts on you [verb.cognition]"
abandoned,[adjective] forsaken by owner or inhabitants [adj.all] | free from constraint [adj.all]
abandoned infant,[noun] a child who has been abandoned and whose parents are unknown [noun.person]
abandoned person,[noun] someone for whom hope has been abandoned [noun.person]
abandoned ship,[noun] a ship abandoned on the high seas [noun.artifact]
abandonment,[noun] the act of giving something up [noun.act] | withdrawing support or help despite allegiance or responsibility [noun.act] | the voluntary surrender of property (or a right to property) without attempting to reclaim it or give it away [noun.act]
abarticulation,[noun] dislocation of a joint [noun.state]
abase,[verb] cause to feel shame [verb.emotion]
abasement,[noun] a low or downcast state [noun.state] | depriving one of self-esteem [noun.act]
abash,[verb] cause to be embarrassed [verb.emotion]
abashed,[adjective] feeling or caused to feel uneasy and self-conscious [adj.all]
abashment,[noun] feeling embarrassed due to modesty [noun.feeling]
abasia,[noun] inability to walk [noun.state]
abasia trepidans,[noun] abasia due to trembling of the legs [noun.state]
abasic,[adjective] of or relating to abasia (inability to walk) [adj.pert]
abatable,[adjective] capable of being abated [adj.all]
abatable nuisance,[noun] a nuisance that can remedied (suppressed or extinguished or rendered harmless) [noun.cognition]
abate,[verb] make less active or intense [verb.change] | become less in amount or intensity [verb.change]
abatement,[noun] an interruption in the intensity or amount of something [noun.event] | the act of abating [noun.act]
abatement of a nuisance,[noun] (law) the removal or termination or destruction of something that has been found to be a nuisance [noun.act]
abatic,[adjective] of or relating to abasia (inability to walk) [adj.pert]
abatis,[noun] a line of defense consisting of a barrier of felled or live trees with branches (sharpened or with barbed wire entwined) pointed toward the enemy [noun.artifact]
abator,[noun] a person who abates a nuisance [noun.person]
abattis,[noun] a line of defense consisting of a barrier of felled or live trees with branches (sharpened or with barbed wire entwined) pointed toward the enemy [noun.artifact]
abattoir,[noun] a building where animals are butchered [noun.artifact]
abaxial,[adjective] facing away from the axis of an organ or organism [adj.all]
abaxially,[adverb] in an abaxial manner [adv.all]
abaya,[noun] (Arabic) a loose black robe from head to toe [noun.artifact]
abb,[noun] an urban hit squad and guerrilla group of the Communist Party in the Philippines [noun.group]
abbacy,[noun] the jurisdiction or office of an abbot [noun.location]
abbatial,"[adjective] of or having to do with or belonging to an abbey or abbot, or abbess [adj.pert]"
abbe,[noun] a French abbot [noun.person]
abbe condenser,[noun] a condenser having 2 or 3 lenses with wide aperture for use in microscopes [noun.artifact]
abbess,[noun] the superior of a group of nuns [noun.person]
abbey,[noun] a church associated with a monastery or convent [noun.artifact] | a convent ruled by an abbess [noun.artifact] | a monastery ruled by an abbot [noun.artifact]
abbot,[noun] the superior of an abbey of monks [noun.person]
abbott lawrence lowell,[noun] United States educator and president of Harvard University (1856-1943) [noun.person]
abbreviate,[verb] reduce in scope while retaining essential elements [verb.change] | shorten [verb.change]
abbreviated,[adjective] (of clothing) very short [adj.all] | cut short in duration [adj.all]
abbreviation,[noun] a shortened form of a word or phrase [noun.communication] | shortening something by omitting parts of it [noun.act]
abbreviator,[noun] one who shortens or abridges or condenses a written work [noun.person]
abc,[noun] the elementary stages of any subject (usually plural) [noun.cognition]
abc's,[noun] the elementary stages of any subject (usually plural) [noun.cognition]
abcoulomb,[noun] a unit of electrical charge equal to 10 coulombs [noun.quantity]
abcs,[noun] the elementary stages of any subject (usually plural) [noun.cognition]
abdias,[noun] a Hebrew minor prophet [noun.person] | an Old Testament book telling Obadiah's prophecies [noun.communication]
abdicable,[adjective] capable of being discarded or renounced or relinquished [adj.all]
abdicate,"[verb] give up, such as power, as of monarchs and emperors, or duties and obligations [verb.social]"
abdication,[noun] a formal resignation and renunciation of powers [noun.communication] | the act of abdicating [noun.communication]
abdicator,[noun] one who formally relinquishes an office or responsibility [noun.person]
abdomen,[noun] the region of the body of a vertebrate between the thorax and the pelvis [noun.body] | the cavity containing the major viscera [noun.body]
abdominal,[noun] the muscles of the abdomen [noun.body] | of or relating to or near the abdomen [adj.pert]
abdominal actinomycosis,[noun] a serious form of actinomycosis that affects the abdomen [noun.state]
abdominal aorta,[noun] a branch of the descending aorta [noun.body]
abdominal aortic aneurysm,[noun] an aneurysm of the abdominal aorta associated with old age and hypertension [noun.state]
abdominal breathing,[noun] breathing in which most of the respiratory effort is done by the abdominal muscles [noun.act]
abdominal cavity,[noun] the cavity containing the major viscera [noun.body]
abdominal external oblique muscle,[noun] a diagonally arranged abdominal muscle on either side of the torso [noun.body]
abdominal muscle,[noun] the muscles of the abdomen [noun.body]
abdominal nerve plexus,[noun] a large plexus of sympathetic nerves in the abdomen behind the stomach [noun.body]
abdominal pregnancy,[noun] ectopic pregnancy in the abdominal cavity [noun.state]
abdominal wall,[noun] a wall of the abdomen [noun.body]
abdominocentesis,[noun] centesis of the belly to remove fluid for diagnosis [noun.act]
abdominoplasty,[noun] cosmetic surgery of the abdomen to remove wrinkles and tighten the skin over the stomach [noun.act]
abdominous,[adjective] having a large belly [adj.all]
abdominousness,[noun] the bodily property of a protruding belly [noun.attribute]
abdominovesical,[adjective] of or relating to the abdomen and the urinary bladder [adj.pert]
abduce,[verb] advance evidence for [verb.communication]
abducens,[noun] a small motor nerve supplying the lateral rectus muscle of the eye [noun.body]
abducens muscle,[noun] the ocular muscle whose contraction turns the eyeball outward [noun.body]
abducens nerve,[noun] a small motor nerve supplying the lateral rectus muscle of the eye [noun.body]
abducent,[noun] a small motor nerve supplying the lateral rectus muscle of the eye [noun.body] | especially of muscles [adj.all]
abducent nerve,[noun] a small motor nerve supplying the lateral rectus muscle of the eye [noun.body]
abduct,[verb] take away to an undisclosed location against their will and usually in order to extract a ransom [verb.contact] | pull away from the body [verb.contact]
abducting,[adjective] especially of muscles [adj.all]
abduction,[noun] the criminal act of capturing and carrying away by force a family member [noun.act] | (physiology) moving of a body part away from the central axis of the body [noun.act]
abductor,[noun] someone who unlawfully seizes and detains a victim (usually for ransom) [noun.person] | a muscle that draws a body part away from the median line [noun.body]
abductor muscle,[noun] a muscle that draws a body part away from the median line [noun.body]
abeam,[adverb] at right angles to the length of a ship or airplane [adv.all]
abecedarian,[noun] a novice learning the rudiments of some subject [noun.person] | a 16th century sect of Anabaptists centered in Germany who had an absolute disdain for human knowledge [noun.group] | alphabetically arranged (as for beginning readers) [adj.all]
abecedarius,[noun] a poem having lines beginning with letters of the alphabet in regular order [noun.communication]
abed,[adverb] in bed [adv.all]
abel,[noun] Norwegian mathematician (1802-1829) [noun.person] | (Old Testament) Cain and Abel were the first children of Adam and Eve born after the Fall of Man [noun.person]
abel janszoon tasman,[noun] Dutch navigator who was the first European to discover Tasmania and New Zealand (1603-1659) [noun.person]
abel tasman,[noun] Dutch navigator who was the first European to discover Tasmania and New Zealand (1603-1659) [noun.person]
abelard,[noun] French philosopher and theologian [noun.person]
abele,[noun] a poplar that is widely cultivated in the United States [noun.plant]
abelia,[noun] any of various deciduous or evergreen ornamental shrubs of the genus Abelia having opposite simple leaves and cymes of small white or pink or purplish flowers [noun.plant]
abelian group,[noun] a group that satisfies the commutative law [noun.cognition]
abelmoschus,[noun] genus of tropical coarse herbs having large lobed leaves and often yellow flowers [noun.plant]
abelmoschus esculentus,[noun] tall coarse annual of Old World tropics widely cultivated in southern United States and West Indies for its long mucilaginous green pods used as basis for soups and stews [noun.plant]
abelmoschus moschatus,[noun] bushy herb of tropical Asia grown for its yellow or pink to scarlet blooms that resemble the hibiscus [noun.plant]
abelmosk,[noun] bushy herb of tropical Asia grown for its yellow or pink to scarlet blooms that resemble the hibiscus [noun.plant]
abenaki,[noun] a member of the Algonquian people of Maine and southern Quebec [noun.person]
aberdare,[noun] a mining town in southern Wales [noun.location]
aberdeen,[noun] a town in western Washington [noun.location] | a town in northeastern South Dakota [noun.location] | a town in northeastern Maryland [noun.location] | a city in northeastern Scotland on the North Sea [noun.location]
aberdeen angus,[noun] black hornless breed from Scotland [noun.animal]
aberdonian,[adjective] of or relating to Aberdeen [adj.pert]
aberrance,[noun] a state or condition markedly different from the norm [noun.state]
aberrancy,[noun] a state or condition markedly different from the norm [noun.state]
aberrant,[noun] one whose behavior departs substantially from the norm of a group [noun.person] | markedly different from an accepted norm [adj.all]
aberrate,[verb] diverge from the expected [verb.stative] | diverge or deviate from the straight path [verb.stative]
aberration,[noun] a state or condition markedly different from the norm [noun.state] | a disorder in one's mental state [noun.state] | an optical phenomenon resulting from the failure of a lens or mirror to produce a good image [noun.phenomenon]
abet,"[verb] assist or encourage, usually in some wrongdoing [verb.social]"
abetalipoproteinemia,[noun] a rare inherited disorder of fat metabolism [noun.state]
abetment,[noun] the verbal act of urging on [noun.communication]
abettal,[noun] the verbal act of urging on [noun.communication]
abetter,[noun] one who helps or encourages or incites another [noun.person]
abettor,[noun] one who helps or encourages or incites another [noun.person]
abeyance,[noun] temporary cessation or suspension [noun.state]
abeyant,[adjective] inactive but capable of becoming active [adj.all]
abfarad,[noun] a capacitance unit equal to one billion farads [noun.quantity]
abhenry,[noun] a unit of inductance equal to one billionth of a henry [noun.quantity]
abhor,[verb] find repugnant [verb.emotion]
abhorrence,[noun] hate coupled with disgust [noun.feeling]
abhorrent,[adjective] offensive to the mind [adj.all]
abhorrer,[noun] a signer of a 1679 address to Charles II in which those who petitioned for the reconvening of parliament were condemned and abhorred [noun.person]
abidance,[noun] acting according to certain accepted standards [noun.act] | the act of dwelling in a place [noun.act] | the act of abiding (enduring without yielding) [noun.act]
abide,[noun] any address at which you dwell more than temporarily [noun.location] (irregular form of: abode) | [verb] dwell [verb.stative]
abide by,"[verb] act in accordance with someone's rules, commands, or wishes [verb.social] | show respect towards [verb.social]"
abiding,[adjective] unceasing [adj.all]
abidjan,[noun] city recognized by the United States as the capital of the Ivory Coast [noun.location]
abience,[noun] (psychology) an urge to withdraw or avoid a situation or an object [noun.motive]
abient,[adjective] characterized by avoidance or withdrawal [adj.pert]
abies,[noun] true firs [noun.plant]
abies alba,[noun] tall timber tree of central and southern Europe having a regular crown and grey bark [noun.plant]
abies amabilis,[noun] medium to tall fir of western North America having a conic crown and branches in tiers [noun.plant]
abies balsamea,[noun] medium-sized fir of northeastern North America [noun.plant]
abies bracteata,[noun] a pyramidal fir of southwestern California having spiny pointed leaves and cone scales with long spines [noun.plant]
abies concolor,[noun] medium to tall fir of central to western United States having a narrow erect crown and soft wood [noun.plant]
abies fraseri,[noun] small fast-growing but short-lived fir of southern Alleghenies similar to balsam fir but with very short leaves [noun.plant]
abies grandis,[noun] lofty fir of the Pacific coast of northwestern America having long curving branches and deep green leaves [noun.plant]
abies lasiocarpa,[noun] medium-tall timber tree of the Rocky Mountains having a narrowly conic to columnar crown [noun.plant]
abies lowiana,[noun] medium to tall fir of central to western United States having a narrow erect crown and soft wood [noun.plant]
abies venusta,[noun] a pyramidal fir of southwestern California having spiny pointed leaves and cone scales with long spines [noun.plant]
abila,[noun] a promontory in northern Morocco opposite the Rock of Gibraltar [noun.object]
abilene,[noun] a city in central Texas [noun.location] | a town in central Kansas to the west of Topeka [noun.location]
ability,[noun] the quality of being able to perform [noun.attribute] | possession of the qualities (especially mental qualities) required to do something or get something done [noun.cognition]
abiogenesis,[noun] a hypothetical organic phenomenon by which living organisms are created from nonliving matter [noun.phenomenon]
abiogenetic,[adjective] originating by abiogenesis [adj.pert]
abiogenist,[noun] a believer in abiogenesis [noun.person]
abiotrophy,[noun] a loss of vitality and a degeneration of cells and tissues not due to any apparent injury [noun.event]
abject,[adjective] of the most contemptible kind [adj.all] | most unfortunate or miserable [adj.all] | showing utter resignation or hopelessness [adj.all] | showing humiliation or submissiveness [adj.all]
abjection,[noun] a low or downcast state [noun.state]
abjectly,[adverb] in a hopeless resigned manner [adv.all]
abjuration,[noun] a disavowal or taking back of a previous assertion [noun.communication]
abjure,"[verb] formally reject or disavow a formerly held belief, usually under pressure [verb.communication]"
abjurer,[noun] a person who abjures [noun.person]
abkhas,[noun] a member of the Circassian people who live to the east of the Black Sea [noun.person] | Circassian people living east of the Black Sea [noun.group]
abkhasian,[noun] a member of the Circassian people who live to the east of the Black Sea [noun.person] | a Circassian language spoken by the Abkhaz [noun.communication]
abkhaz,[noun] a member of the Circassian people who live to the east of the Black Sea [noun.person] | an autonomous province of Georgia on the Black Sea [noun.location] | Circassian people living east of the Black Sea [noun.group] | of or relating to Abkazia or its people or their language [adj.pert]
abkhazia,[noun] an autonomous province of Georgia on the Black Sea [noun.location]
abkhazian,[noun] a member of the Circassian people who live to the east of the Black Sea [noun.person] | a Circassian language spoken by the Abkhaz [noun.communication] | of or relating to Abkazia or its people or their language [adj.pert]
ablactate,[verb] gradually deprive (infants and young mammals) of mother's milk [verb.consumption]
ablactation,[noun] the cessation of lactation [noun.process] | the act of substituting other food for the mother's milk in the diet of a child or young mammal [noun.act]
ablate,[verb] wear away through erosion or vaporization [verb.change] | remove an organ or bodily structure [verb.change]
ablated,[adjective] made smaller or less by melting or erosion or vaporization [adj.all]
ablation,[noun] surgical removal of a body part or tissue [noun.act] | the erosive process that reduces the size of glaciers [noun.process]
ablative,[noun] the case indicating the agent in passive sentences or the instrument or manner or place of the action described by the verb [noun.communication] | relating to the ablative case [adj.pert] | tending to ablate [adj.all]
ablative absolute,[noun] a constituent in Latin grammar [noun.communication]
ablative case,[noun] the case indicating the agent in passive sentences or the instrument or manner or place of the action described by the verb [noun.communication]
ablaut,[noun] a vowel whose quality or length is changed to indicate linguistic distinctions (such as sing sang sung song) [noun.communication]
ablaze,[adjective] keenly excited (especially sexually) or indicating excitement [adj.all] | lighted up by or as by fire or flame [adj.all] | resembling flame in brilliance or color [adj.all] | lighted with red light as if with flames [adj.all]
able,[adjective] without musical accompaniment [adv.all] | have the skills and qualifications to do things well [adj.all] | having inherent physical or mental ability or capacity [adj.all] | having a strong healthy body [adj.all]
able seaman,[noun] a seaman in the merchant marine [noun.person]
able-bodied,[adjective] having a strong healthy body [adj.all]
able-bodied seaman,[noun] a seaman in the merchant marine [noun.person]
able-bodiedism,[noun] discrimination in favor of the able-bodied [noun.act]
able-bodism,[noun] discrimination in favor of the able-bodied [noun.act]
ableism,[noun] discrimination in favor of the able-bodied [noun.act]
ablepharia,[noun] a congenital absence of eyelids (partial or complete) [noun.state]
ablism,[noun] discrimination in favor of the able-bodied [noun.act]
abloom,[adjective] bursting into flower [adj.all]
abls,[noun] a bachelor's degree in library science [noun.communication]
ablution,[noun] the ritual washing of a priest's hands or of sacred vessels [noun.act]
ablutionary,[adjective] cleansing the body by washing [adj.all]
ably,[adverb] with competence [adv.all]
abm,[noun] a defensive missile designed to shoot down incoming intercontinental ballistic missiles [noun.artifact]
abnaki,[noun] a member of the Algonquian people of Maine and southern Quebec [noun.person] | the Algonquian language spoken by the Abnaki and Penobscot [noun.communication] | of or relating to the Abnakis or their language [adj.pert]
abnegate,[verb] deny oneself (something) [verb.possession] | surrender (power or a position) [verb.competition] | deny or renounce [verb.communication]
abnegation,[noun] the denial and rejection of a doctrine or belief [noun.communication] | renunciation of your own interests in favor of the interests of others [noun.act]
abnegator,[noun] one who gives up or relinquishes or renounces something [noun.person]
abney level,[noun] a surveying instrument consisting of a spirit level and a sighting tube [noun.artifact]
abnormal,[adjective] not normal [adj.all] | departing from the normal in e.g. intelligence and development [adj.all] | much greater than the normal [adj.all]
abnormal psychology,[noun] the branch of psychology concerned with abnormal behavior [noun.cognition]
abnormalcy,[noun] an abnormal physical condition resulting from defective genes or developmental deficiencies [noun.state]
abnormality,[noun] an abnormal physical condition resulting from defective genes or developmental deficiencies [noun.state] | retardation sufficient to fall outside the normal range of intelligence [noun.cognition] | marked strangeness as a consequence of being abnormal [noun.attribute] | behavior that breaches the rule or etiquette or custom or morality [noun.act]
abnormally,[adverb] in an abnormal manner [adv.all]
abo,[noun] a dark-skinned member of a race of people living in Australia when Europeans arrived [noun.person]
abo antibodies,[noun] blood type antibodies [noun.substance]
abo blood group system,[noun] a classification system for the antigens of human blood [noun.cognition]
abo group,[noun] a classification system for the antigens of human blood [noun.cognition]
abo system,[noun] a classification system for the antigens of human blood [noun.cognition]
aboard,"[adverb] on a ship, train, plane or other vehicle [adv.all] | on first or second or third base [adv.all] | side by side [adv.all] | part of a group [adv.all]"
abocclusion,[noun] the condition in which the upper teeth do not touch the lower teeth when biting [noun.state]
abode,[noun] any address at which you dwell more than temporarily [noun.location] | housing that someone is living in [noun.artifact]
abohm,[noun] a unit of resistance equal to a billionth of an ohm [noun.quantity]
abolish,[verb] do away with [verb.social]
abolishable,[adjective] capable of being abolished [adj.all]
abolishment,[noun] the act of abolishing a system or practice or institution (especially abolishing slavery) [noun.act]
abolition,[noun] the act of abolishing a system or practice or institution (especially abolishing slavery) [noun.act]
abolitionary,"[adjective] relating to or favoring abolition, especially abolition of slavery [adj.pert]"
abolitionism,[noun] the doctrine that calls for the abolition of slavery [noun.cognition]
abolitionist,[noun] a reformer who favors abolishing slavery [noun.person]
abomasal,[adjective] relating to the abomasum (the fourth compartment of the stomach of ruminants) [adj.pert]
abomasum,[noun] the fourth compartment of the stomach of a ruminant [noun.animal]
abominable,[adjective] unequivocally detestable [adj.all] | exceptionally bad or displeasing [adj.all]
abominable snowman,[noun] a large hairy humanoid creature said to live in the Himalayas [noun.person]
abominably,[adverb] in an offensive and hateful manner [adv.all] | in a terrible manner [adv.all]
abominate,[verb] find repugnant [verb.emotion]
abomination,[noun] a person who is loathsome or disgusting [noun.person] | hate coupled with disgust [noun.feeling] | an action that is vicious or vile [noun.act]
abominator,[noun] one who hates or loathes [noun.person]
abor,[noun] little known Kamarupan languages [noun.communication]
aborad,[adverb] away from the mouth or oral region [adv.all]
aboral,[adjective] opposite to or away from the mouth [adj.all]
aboriginal,[noun] a dark-skinned member of a race of people living in Australia when Europeans arrived [noun.person] | an indigenous person who was born in a particular place [noun.person] | of or pertaining to members of the indigenous people of Australia [adj.pert] | characteristic of or relating to people inhabiting a region from the beginning [adj.all] | having existed from the beginning [adj.all]
aboriginal australian,[noun] the Austronesian languages spoken by Australian aborigines [noun.communication]
aborigine,[noun] an indigenous person who was born in a particular place [noun.person] | a dark-skinned member of a race of people living in Australia when Europeans arrived [noun.person]
abort,"[noun] the act of terminating a project or procedure before it is completed [noun.act] | terminate before completion [verb.change] | cease development, die, and be aborted [verb.body] | terminate a pregnancy by undergoing an abortion [verb.body]"
aborticide,[noun] a drug (or other chemical agent) that causes abortion [noun.artifact] | the act of destroying a fetus [noun.act]
abortifacient,[noun] a drug (or other chemical agent) that causes abortion [noun.artifact] | causing abortion [adj.all]
abortion,[noun] termination of pregnancy [noun.act] | failure of a plan [noun.event]
abortion pill,[noun] an abortion-inducing drug (trade name RU_486) developed in France [noun.artifact]
abortion-inducing drug,[noun] a drug (or other chemical agent) that causes abortion [noun.artifact]
abortionist,[noun] a person (who should be a doctor) who terminates pregnancies [noun.person]
abortive,[adjective] failing to accomplish an intended result [adj.all]
abortively,[adverb] in an unfruitful manner [adv.all]
abortus,[noun] a human fetus whose weight is less than 0.5 kilogram when removed or expelled from the mother's body [noun.animal]
aboulia,[noun] a loss of will power [noun.state]
aboulic,[adjective] suffering from abulia [adj.all]
abound,[verb] be abundant or plentiful [verb.stative] | be in a state of movement or action [verb.stative]
abound in,[verb] exist in large quantity [verb.stative]
abounding,[adjective] existing in abundance [adj.all]
about,[adjective] on the move [adj.all] | (of quantities) imprecise but fairly close to correct [adv.all] | all around or on all sides [adv.all] | in the area or vicinity [adv.all] | used of movement to or among many different places or in no particular direction [adv.all] | in or to a reversed position or direction [adv.all] | in rotation or succession [adv.all] | (of actions or states) slightly short of or not quite accomplished [adv.all]
about turn,"[noun] act of pivoting 180 degrees, especially in a military formation [noun.act]"
about-face,"[noun] act of pivoting 180 degrees, especially in a military formation [noun.act] | a major change in attitude or principle or point of view [noun.act] | turn, usually 180 degrees [verb.motion] | change one's mind and assume the opposite viewpoint [verb.cognition]"
above,[noun] an earlier section of a written text [noun.communication] | appearing earlier in the same text [adj.all] | at an earlier place [adv.all] | in or to a place that is higher [adv.all]
above all,[adverb] above and beyond all other consideration [adv.all] | taking everything together [adv.all]
above-mentioned,[adjective] mentioned or named earlier in the same text [adj.all]
above-named,[adjective] mentioned or named earlier in the same text [adj.all]
aboveboard,[adjective] without concealment or deception [adj.all] | in an honest manner [adv.all]
aboveground,[adjective] on or above the surface of the ground [adj.all]
abracadabra,[noun] gibberish and nonsense [noun.communication]
abrachia,[noun] the condition of having no arms [noun.state]
