Source,Headword,Definition
A Concise English- Arabic,absorbency,اسْم : الماصِّيَّة
A Concise English- Arabic,absorbent,اسْم وصِفَة : ممتصّ . ماصّ
A Concise English- Arabic,absorbing,صِفَة : مستحوذ على الانتباه . ممتع جداً
A Concise English- Arabic,absorption,اسْم : امتصاص . استغراق
A Concise English- Arabic,absorptive,صِفَة : مُمْتَصّ
A Concise English- Arabic,abstainer,اسْم : مُمْتَنِعٌ عن . رافِض
A Concise English- Arabic,abstaining,اسْم : اِمْتِناع . تَمَنُّع . إِمْساك عن . كَفّ . إِحْجام . تَقَعُّد . نُكُول . اِنْقِطاعٌ عَنْ . كَفٌّ عَنْ . وَقْف
A Concise English- Arabic,abstemious,صِفَة : معتدل . غير مُسرِف
A Concise English- Arabic,abstention,صِفَة : إمساك أو امتناع عن
A Concise English- Arabic,abstergent,صِفَة : مُطَهِّر . طَهِر اسْم : مُطَهِّر
A Concise English- Arabic,abstinence,اسْم : تَقَشُّف . امتناع عن بعض المآكل وعن المسكرات
A Concise English- Arabic,abstinent,صِفَة : مُتَقَشِّف
A Concise English- Arabic,abstractly,حال : عَلَى نَحْو تَجْرِيدِيّ
A Concise English- Arabic,absurdism,اسْم : عَبَثِيَّة . فَلْسَفَةُ العَبَث . عَبَث في علم الفلسفة
A Concise English- Arabic,absurdity,اسْم : سُخْف . شيء سخيف
A Concise English- Arabic,absurdness,اسْم : سَخَافَة . سُخْف
A Concise English- Arabic,abundance,اسْم : وَفرَة . غَزارَة . فيض
A Concise English- Arabic,abundances@abundant,صِفَة : وافر . غزير
A Concise English- Arabic,abundantly,حال : بوفرة . بغزارة
A Concise English- Arabic,abut upon,اتَّكَأَ
A Concise English- Arabic,abutmentsvabutting,صِفَة : مُتَاخِم . مُتَجَاوِر . مُلْتَصِق . مُلامِس . مُتَلامِس . مُمَاسّ
A Concise English- Arabic,academical,صِفَة : أَكَادِيمِيّ
A Concise English- Arabic,acanthusesaccede,فِعْل : ينضمّ إلى معاهدة أو حزب . يوافق . يقبل . يتبوّأُ منصباً
A Concise English- Arabic,accedence,اسْم : اِسْتِجَابَة . إجَابَة . تَلْبيَة . نُزُولٌ عِنْدَ رَغْبَةٍ أو إرَادَة
A Concise English- Arabic,accelerate,فِعْل : يُعجِّل . يُسرِّع . يتسارَع . يزداد سرعة
A Concise English- Arabic,accentingaccentsHaccented,صِفَة : مُشَدَّد . مُفَخَّم
A Concise English- Arabic,accentuate,فِعْل : يَنْبر . يشدّد . يشكُلُ . يؤكِّد . يُبْرِز
A Concise English- Arabic,acceptable,صِفَة : مقبول . مُرْضٍ
A Concise English- Arabic,acceptance,اسْم : قبول . رضا . موافقة . قبول الحوالة . الحوالة المقبولة
A Concise English- Arabic,accepting,صِفَة : راضٍ . مُلَبٍّ
A Concise English- Arabic,accessible,صِفَة : ممكن الوصول إليه أو الحصول عليه . سهل المنال . قابلٌ لِـ
A Concise English- Arabic,accession,اسْم : تَكاثرٌ . تعاظُم . إضافة . شيء مَزيدٌ . تبوُّؤ . تسنُّم . ارتقاء
A Concise English- Arabic,accessionsOaccessories,اسْم جَمْع : قِطَعٌ إِضَافِيَّة
A Concise English- Arabic,accessory,صِفَة : مساعد . ثانوي اسْم : ملحَق . شيء ثانوي أو كمالي . المحرِّض على جريمة
A Concise English- Arabic,accidence,اسْم : عِلْمُ الصَّرْف
A Concise English- Arabic,accipiter,اسْم : صقْر . بَازٍ
A Concise English- Arabic,acclimate,فِعْل : يؤقلم . يتأقلم
A Concise English- Arabic,acclivity,اسْم : مُرْتَقَى . حُدُورٌ صاعِدٌ
A Concise English- Arabic,accompany,فِعْل : يرافِق . يصاحب
A Concise English- Arabic,accomplice,اسْم : شريك في جريمة
A Concise English- Arabic,accomplish,فِعْل : يُنجز . يُتِمّ . يَبلُغ
A Concise English- Arabic,accordance,اسْم : انسجام . مطابقة . مَنْح
A Concise English- Arabic,accordant,صِفَة : ملائم . موافق . منسجم مع
A Concise English- Arabic,according,اسْم : عَطَاء . إِعْطاء . مَنْح . وَهْب . تَقْدِيم
A Concise English- Arabic,accordingtoIaccordingly,حال : وَفقاً لذلك . وهكذا
A Concise English- Arabic,accordion,اسْم : آلة موسيقية تُسَمَّى الأكورديون
A Concise English- Arabic,accordions,فِعْل : يُبادره بالكلام
A Concise English- Arabic,accountant,اسْم : المحاسِب في شركة
A Concise English- Arabic,accounting,اسْم : علم تدوين الحسابات وتفسيرها
A Concise English- Arabic,accredited,صِفَة : مُفَوَّض . مَنْدُوب . مُعْتَمَد
A Concise English- Arabic,accretion,اسْم : ازدياد . تعاظُم . إضافة خارجية أو غريبة
A Concise English- Arabic,accretionsOaccrual,اسْم : تراكمٌ . شيء متراكم
A Concise English- Arabic,accrue to,يَنْتَقِل
A Concise English- Arabic,accumulate,فِعْل : يُكدِّس . يَرْكُم. يتكدّس . يتراكم
A Concise English- Arabic,accuraciesHaccurate,صِفَة : مضبوط . صحيح . دقيق
A Concise English- Arabic,accurately,حال : على نحو صحيح أو دقيق
A Concise English- Arabic,accusation,اسْم : اتهام . تهمة موجَّهة
A Concise English- Arabic,accusative,صِفَة : اِتِّهامِيّ . مَنْصُوب في اللغة
A Concise English- Arabic,accusatory,صِفَة : اِتِّهامِيّ
A Concise English- Arabic,accuse of,يَتَّهِم بـ . يَرْمِي بـ
A Concise English- Arabic,accustomed,صِفَة : معتاد . مألوف . متعوِّد
A Concise English- Arabic,acerbated,صِفَة : غاضِب . غَضْبان
A Concise English- Arabic,acerbating,صِفَة : مُغْضِب
A Concise English- Arabic,acetified,صِفَة : مُخَلَّل
A Concise English- Arabic,achievable,صِفَة : مُمْكِنٌ إِنْجَازُهُ
A Concise English- Arabic,achievingachievesachieved,صِفَة : تامّ . مُكَمَّل . ناجِز . مُحْرَز . مُدَبَّر . مَفْرُوغٌ مِنْهُ . مُتَمَّم
A Concise English- Arabic,achromatic,صِفَة : كاسِرٌ للضوء من غير أن يحلّله . غير قابل للتلوين بسهولة . لا لون له
A Concise English- Arabic,acidified,صِفَة : مُحَمَّض
A Concise English- Arabic,acidulent,صِفَة : حامِضٌ قَلِيلا
A Concise English- Arabic,acidulous,صِفَة : حامض قليلاً . قاسٍ
A Concise English- Arabic,aciniform,صِفَة : عُنْقُودِيّ
A Concise English- Arabic,acoustical,صِفَة : صَوْتيّ . سَمْعيّ
A Concise English- Arabic,acoustics,اسْم : سَمْعِيَّات . عِلْمُ الصَّوْت
A Concise English- Arabic,acquainted,صِفَة : مطّلع على . مُلِمّ بـ
A Concise English- Arabic,acquiesce,فِعْل : يَقْبل . يُذْعِن
A Concise English- Arabic,acquirable,صِفَة : مُمْكِنٌ إِحْرَازُهُ
A Concise English- Arabic,acquiringacquires,صِفَة : مُكْتَسَب
A Concise English- Arabic,acquittalspacre,اسْم : قطعة أرض . مقياس للمساحة يُسَمَّى الأَكْر . فدَّان . أَكْر
A Concise English- Arabic,acrimoniesXacrobat,اسْم : بهلوان . القُلَّب . الحُوَّل
A Concise English- Arabic,acrobatic,صِفَة : بَهْلَوَانِي
A Concise English- Arabic,acrobatics,اسْم : البهلوانيات . ألاعيب البهلوان
A Concise English- Arabic,hostilitytowardAact pursuant to,يَعْمَل بـ أو بمُوجِب أو حَسَبَ
A Concise English- Arabic,actionable,صِفَة : مُوجِبٌ لإقَامَةِ دَعْوى
A Concise English- Arabic,activated,صِفَة : مُنَشَّط
A Concise English- Arabic,activating,صِفَة : مُنَشِّط
A Concise English- Arabic,activitiesZactor,اسْم : الفاعل . العامل . الممثّل المسرحيّ
A Concise English- Arabic,actressesIactual,صِفَة : فعليّ . واقعيّ . حاليّ
A Concise English- Arabic,actualized,صِفَة : مُتَحَقِّق . مُحَقَّق
A Concise English- Arabic,actuarieslactuate,فِعْل : يشغِّل . يدفع . يحرّك . يحثّ
A Concise English- Arabic,actuatingactuates=actuated,صِفَة : مُسَيَّر
A Concise English- Arabic,actuating,صِفَة : مُحَرِّك
A Concise English- Arabic,acuminate,صِفَة : مُسْتَدِقُّ الطَّرَف
A Concise English- Arabic,adamantine,صِفَة : صُلْب . عَنِيد . مُتَعَنِّت
A Concise English- Arabic,adaptable,صِفَة : متكيّف أو قابلٌ للتكييف
A Concise English- Arabic,adaptation,اسْم : تكييف . تكيُّف
A Concise English- Arabic,add up to,يَبْلُغ المِقْدارُ أو المَجْمُوعُ كَذَا
A Concise English- Arabic,addictingaddictsGaddicted,صِفَة : مُدْمِن . مُعَاقِر
A Concise English- Arabic,addictive,صِفَة : إِدْمانِيّ
A Concise English- Arabic,addressed,صِفَة : مُخَاطَب . مُوَجَّهٌ كَسُؤَالٍ أو رِسَالَةٍ إلخ . مُعَنْوَن
A Concise English- Arabic,addressee,اسْم : المخاطَب . المرسَل إليه
A Concise English- Arabic,addresseeshadduce,فِعْل : يُوْرِد . يقدِّم . يُدْلي بـ
A Concise English- Arabic,adequaciesPadequate,صِفَة : كافٍ . ملائم . وافٍ بالمراد
A Concise English- Arabic,adequately,حال : عَلَى نَحْو كافٍ . كَمَا يَنْبَغِي
A Concise English- Arabic,adhere to,يَلْصَق
A Concise English- Arabic,adhesionsµadhesive,صِفَة : لاصِق . لَزِج . دَبق اسْم : صَمْغ . لِصَاق . لِزَاق . مادة دبقَة
A Concise English- Arabic,adjacency,اسْم : شيء متاخم . تجاوُر
A Concise English- Arabic,adjectival,صِفَة : نَعْتِيّ
A Concise English- Arabic,adjective,اسْم : نَعْت . صفة
A Concise English- Arabic,adjectivescadjoin,فِعْل : يَضُم . يجاور . يحاذي
A Concise English- Arabic,adjunction,اسْم : ضَمّ . إلحاق
A Concise English- Arabic,adjuration,اسْم : قَسَمٌ . استحلاف . مناشدة
A Concise English- Arabic,adjustable,صِفَة : مُتَكَيِّف
A Concise English- Arabic,adjustment,اسْم : تسوية . تنظيم . ضبط
A Concise English- Arabic,adjutants=adjuvant,صِفَة : مُسَاعِد
A Concise English- Arabic,administer,فِعْل : يدير . يدبّر . يقيم العدل . يمنح الأسرار الكنسيّة . يعطي دواءً . يصفّي أملاك متوفّى
A Concise English- Arabic,admirable,صِفَة : رائع . باهر . مُمتاز
A Concise English- Arabic,admirably,حال : عَلَى نَحْو رائِع
A Concise English- Arabic,admiralty,اسْم : إمارة البحر . أميرالية
A Concise English- Arabic,admiration,اسْم : إعجاب . موضع إعجاب
A Concise English- Arabic,admissible,صِفَة : مقبول . مسموح أو مسلَّم به
A Concise English- Arabic,admission,اسْم : تسليم بقضية الخ . إدخال . حقّ الدخول . قبول
A Concise English- Arabic,admissions£admit,فِعْل : يسمح بـ . يفسح مجالاً لـ . يُسلّم بـ . يقبله في . يمنحه حق الدخول . يتّسع لـ . يعترف بـ
A Concise English- Arabic,admittedly,حال : باعْتِرافِ الجَمِيع
A Concise English- Arabic,admixture,اسْم : مَزْجٌ . امتزاج . مما يضاف إلى غيره بالمزج . مزيج
A Concise English- Arabic,admixturesradmonish,فِعْل : يلوم . يعاتب . ينصح . يحذّر
A Concise English- Arabic,admonitory,صِفَة : نُصْحِيّ
A Concise English- Arabic,adolescent,اسْم وصِفَة : مُراهِق
A Concise English- Arabic,adopt from,يَقْبس
A Concise English- Arabic,adoptionsAadoptive,صِفَة : بالتَّبَنِّي
A Concise English- Arabic,adoration,اسْم : عبادة . توقير . هيام
A Concise English- Arabic,adorations,فِعْل : يعبد . يوقر . يهيم بـ
A Concise English- Arabic,adornment,اسْم : تزيين . زينة . حِلْيَة
A Concise English- Arabic,adornments,صِفَة : كُظْرِيّ
A Concise English- Arabic,adulatingadulatesBadult,اسْم وصِفَة : بالغ . راشد
A Concise English- Arabic,adulterate,فِعْل : يَمْذُق . يغشّ
A Concise English- Arabic,adulterer,اسْم : الزّاني
A Concise English- Arabic,adulterous,صِفَة : ذو علاقة بالزنا
A Concise English- Arabic,advantage,اسْم : أفضليّة . مصلحة . فائدة . ميزة . حَسَنَة
A Concise English- Arabic,advantagesNadvantageous,صِفَة : مفيد . مساعد . مُؤاتٍ
A Concise English- Arabic,Adventist,صِفَة : مَجيئِيّ
A Concise English- Arabic,adventive,صِفَة : غَيْرُ بَلَدِيّ
A Concise English- Arabic,adventure,اسْم : مغامرة . مجازفة . تجربة مثيرة فِعْل : يغامر
A Concise English- Arabic,adverbial,صِفَة : ظَرْفِيّ في اللغة
A Concise English- Arabic,adversary,اسْم : خَصْم . عدوّ
A Concise English- Arabic,adversely,حال : بالعَكْس
A Concise English- Arabic,adversity,اسْم : شدّة . مِحْنة . ضرّاء . حظّ عاثِر
A Concise English- Arabic,advertise,فِعْل : يُعلِم . يعلن
A Concise English- Arabic,advisable,صِفَة : مُسْتَصْوَب . مُسْتَحسَن
A Concise English- Arabic,advise of,يُعَرِّف
A Concise English- Arabic,advisedly,حال : بأناة . برَوِيّة . عن عمد
A Concise English- Arabic,advisement,اسْم : روية . تفكير طويل
A Concise English- Arabic,advocaciesÍadvocate,اسْم : المحامي . المؤيد لقضيّة أو اقتراح فِعْل : يدافع عن . يؤيّد
A Concise English- Arabic,advocating,صِفَة : مُؤَيِّد . مُنَاصِر
A Concise English- Arabic,advocation,اسْم : دفاع . تأييد
A Concise English- Arabic,aerobatics,اسْم جَمْع : بَهْلَوَانِيَّاتٌ جَوِّيَّة . طَيَرَانٌ بَهْلَوَانِيّ
A Concise English- Arabic,aerodrome,اسْم : مطار . ميناء جوّي
A Concise English- Arabic,aerodromesPaerodynamic,صِفَة : دِينَامِيكِيٌّ هَوَائِيّ
A Concise English- Arabic,aeroplane,اسْم : طائرة
A Concise English- Arabic,aeroplanesZaesthete,اسْم : مُحِبّ الجمال وبخاصة في الفن
A Concise English- Arabic,aesthetics,اسْم : علم الجمال
A Concise English- Arabic,affability,اسْم : الأُنس . الدّماثة . عذوبة المعاشرة
A Concise English- Arabic,affectingaffectsVaffectation,اسْم : تظاهرٌ بـ . تكلُّف
A Concise English- Arabic,affecting,صِفَة : مؤثّر . مثير للعواطف
A Concise English- Arabic,affection,اسْم : عاطفة . شعور . حبّ
A Concise English- Arabic,affectionsKaffectionate,صِفَة : محبّ . حنون . رقيق
A Concise English- Arabic,affective,صِفَة : عاطِفِيّ . مُؤَثِّر . مُثِيرٌ لِلْعاطِفَة
A Concise English- Arabic,afflicted,صِفَة : مَفْجُوع . مَنْكُوب . مُعَذَّب . بائِس
A Concise English- Arabic,affliction,اسْم : حزن . ألم . بلوى . مرض
A Concise English- Arabic,afflictive,صِفَة : مُفْجع . مُعَذِّب
A Concise English- Arabic,affluence,اسْم : وفرة . فيض . غنى . تدفّق
A Concise English- Arabic,afforested,صِفَة : مُشَجَّر
A Concise English- Arabic,affusionsJAfghanistan,اسْم : دولة أَفغاَنِسْتَان
A Concise English- Arabic,aforesaid,صِفَة : مذكور آنفاً
A Concise English- Arabic,aforetime,صِفَة : سابق حال : سابقا . في السَّابق
A Concise English- Arabic,afraid of,خَائِفٌ مِن
A Concise English- Arabic,aftermath,اسْم : الجزة الثانية . نتائج . آثار
A Concise English- Arabic,afternoonsafterthought,اسْم : الفكرة التِّلْوِيّة وهي فكرة تخطر في البال في ما بعد أو بعد فوات الأوان
A Concise English- Arabic,afterward,حال : بعدئذ . في ما بعد
A Concise English- Arabic,afterwards,حال : بعدئذ . في ما بعد
A Concise English- Arabic,aggrandize,فِعْل : يكبِّر . يوسِّع . يضخِّم
A Concise English- Arabic,aggravate,فِعْل : يفاقم أي يجعل الشيء أسوأ أو أشدّ خطورة . يثير . يُغضب
A Concise English- Arabic,aggregate,صِفَة : كليّ . إجمالي اسْم : مجموع . حاصل فِعْل : يجمِّع . يكتِّل
A Concise English- Arabic,aggression,اسْم : عُدْوان . تَعَدٍ
A Concise English- Arabic,aggressive,صِفَة : عُدْواني
A Concise English- Arabic,aggressor,اسْم : الباغي . المعتدي . البادئ بالعدوان
A Concise English- Arabic,aggressorsfaggrieve,فِعْل : يُحْزِن . يَظْلِمْ
A Concise English- Arabic,agitatingagitatesEagitated,صِفَة : عَصَبيٌّ
A Concise English- Arabic,agitating,صِفَة : مُسْتَثِير . مُرْبك
A Concise English- Arabic,agitation,اسْم : إثارة . إهاجة . اهتياج
A Concise English- Arabic,agitationsRagitator,اسْم : المُهيِّج . الخضّاضة
A Concise English- Arabic,agitators@aglow,صِفَة : متوهّج . متّقد
A Concise English- Arabic,agonizingagonizesiagonized,صِفَة : مُعَذَّب . مُتَأَلِّم . مَفْجُوع . مَكْرُوب . كَظِيم
A Concise English- Arabic,agree with,يُوَافِق
A Concise English- Arabic,agreeable,صِفَة : مقبول . سائغ . ملائم
A Concise English- Arabic,agreement,اسْم : اتفاق . انسجام . اتفاقية
A Concise English- Arabic,agreements?agricultural,صِفَة : زراعيّ
A Concise English- Arabic,agronomic,صِفَة : زِرَاعِيّ
A Concise English- Arabic,agronomist,اسْم : مُهَنْدِسٌ زِرَاعِيٌّ
A Concise English- Arabic,aigrettes,فِعْل : يوجِع . يزعج . يتوعك . يمرض
A Concise English- Arabic,aimlessly,حال : عَشْوائِيًّا . جُزَافا
A Concise English- Arabic,air drill,مِثْقَبٌ هَوَائِيٌّ
A Concise English- Arabic,air force,سلاح الطيران
A Concise English- Arabic,air letter,رسالة جويّة
A Concise English- Arabic,air pocket,جَيْب هوائيّ . مَطَبّ
A Concise English- Arabic,air to air,حال وصِفَة : من الجوّ إلى الجوّ
A Concise English- Arabic,airdromes,اسْم : المَهْبط . أرض الهبوط في مطار
A Concise English- Arabic,airfieldsOairily,حال : بحَيَوِيَّة . بمَرَح . برِقَّة
A Concise English- Arabic,airplanesMairport,اسْم : ميناء جوّي . مطار
A Concise English- Arabic,airstripsTairtight,صِفَة : سَدُوْدٌ للهواء . مُحْكَم السدّ
A Concise English- Arabic,airworthy,صِفَة : صالِحٌ للطَّيَرانِ أو للمِلاحَةِ الجَوِّيَّة
A Concise English- Arabic,alabaster,اسْم : مَرْمَرٌ
A Concise English- Arabic,albatross,اسْم : طائر بحريّ كبير يُسَمَّى القَطْرَس
A Concise English- Arabic,albinotic,صِفَة : أَمْهَق . الأَبْيَضُ لَوْنِ الشَّعْرِ والجلْد
A Concise English- Arabic,albuminous,صِفَة : زُلاليّ
A Concise English- Arabic,alchemist,اسْم : المشتغل بالكيمياء القديمة
A Concise English- Arabic,alchemistsOalchemy,اسْم : الخيمياء أي الكيمياء القديمة
A Concise English- Arabic,alcoholic,صِفَة : كحوليّ . سكّير
A Concise English- Arabic,Alexandria,اسْم : مدينة الإسْكَندَريَّة
A Concise English- Arabic,algebraic,صِفَة : جَبْرِيّ أي متعلق بعلم الجبر
A Concise English- Arabic,alienable,صِفَة : قابلٌ لِلتَّحْوِيل
A Concise English- Arabic,alienated,صِفَة : مُتَنَازَلٌ عنه أو عن مِلْكِيَّتِهِ . مُتَفَرَّغٌ عَنْهُ . مُتَّسِمٌ بالنُّفُورِ أو الجَفاء . مُنْسَلِخ
A Concise English- Arabic,alimentary,صِفَة : غِذائيّ . مُغَذّ
A Concise English- Arabic,alimentarycanalRalimony,اسْم : نفقة الزوجة المطلَّقة
A Concise English- Arabic,alimoniesWaline,فِعْل : يَصُفّ أو يصطفّ
A Concise English- Arabic,aliphatic,صِفَة : دُهْنِيّ . شَحْمِيّ
A Concise English- Arabic,all right,صِفَة : صحيح . مُرْضٍ . معافى حال : حسن جدّاً . من غير رَيْب
A Concise English- Arabic,allegation,اسْم : ادعاء . زَعم
A Concise English- Arabic,allegedly,حال : ظاهِرِيًّا
A Concise English- Arabic,allegiance,اسْم : ولاء للدولة . إخلاص
A Concise English- Arabic,allegiant,صِفَة : صادِقُ الوَلاء
A Concise English- Arabic,allegoric,صِفَة : مجازيّ . استعاريّ
A Concise English- Arabic,alliancesJallied,صِفَة : مُتّحِد . متحالف . حليف
A Concise English- Arabic,alligator,اسْم : القاطور . تمساح أميركا
A Concise English- Arabic,alligatorszallocate,فِعْل : يوزّع . يقسّم . يحصّص . يحدّد أو يعيّن
A Concise English- Arabic,allocated,صِفَة : مُخَصَّص
A Concise English- Arabic,allocation,اسْم : توزيع . تحديد . حصة
A Concise English- Arabic,allottingallots*allot to,يَمْنَح . يُخَصِّص لِـ
A Concise English- Arabic,allotment,اسْم : توزيع حصَص . حصّة
A Concise English- Arabic,allotmentsHallotted,صِفَة : مُخَصَّص . مُوَزَّع
A Concise English- Arabic,allow for,يَأْخُذ بعَيْنِ الاعْتِبَارِ أو بالحُسْبان
A Concise English- Arabic,allowable,صِفَة : جائِز . مباحٌ . مشروع
A Concise English- Arabic,allowance,اسْم : نصيب . حصة . مُخَصّص . علاوة . إنقاص . حَسْم . إباحَة . إجازة . إقرار أو تسليم بـ
A Concise English- Arabic,allowancesPallowed,صِفَة : مَسْمُوح . مُجَاز . مُحَلَّل
A Concise English- Arabic,allspiceskallude,فِعْل : يلمّح . يُلمع إلى . يشير مداورة
A Concise English- Arabic,allusionsFalluvial,صِفَة : طَمْييّ . غَرينيّ
A Concise English- Arabic,alluviumsÕally,اسْم : دولة حليفة . حليف . نصير فِعْل : يصاهر بين . يحالف بين . يوحِّد في حلف . يتحالف
A Concise English- Arabic,almshouse,اسْم : مأوى . ملجأ للفقراء
A Concise English- Arabic,almshousesKaloe,اسْم : الألوة . نبات الصَّبر
A Concise English- Arabic,alongside,حال : بجانب كذا . جنبا إلى جنب
A Concise English- Arabic,alteration,اسْم : تبديل . تغيير . تبدُّل
A Concise English- Arabic,alterative,صِفَة : مُبَدِّل
A Concise English- Arabic,altercate,فِعْل : يتشاحن . يتشاجر
A Concise English- Arabic,altercatewith^altercation,اسْم : مشاحنة . مشاجرة . مُشادَّة
A Concise English- Arabic,alternatebetween?alternate in,يَعْتَوِر . يَتَنَاوَب . يَتَدَاوَل
A Concise English- Arabic,altimeter,اسْم : الألتيمتر وهو مقياس الارتفاع
A Concise English- Arabic,altimeters,اسْم : ارتفاع . علوّ . مرتفَع . ذروة
A Concise English- Arabic,altogether,حال : تماماً . بكل ما في الكلمة من معنى . جملةً . في مجموعهِ . بالإجمال
A Concise English- Arabic,aluminium,اسْم : الألومينيوم
A Concise English- Arabic,alveolate,صِفَة : مُنَخْرَب
A Concise English- Arabic,amalgamate,فِعْل : يُمَلْغِم . يَدْمج . يتملغم . يندمج
A Concise English- Arabic,amaryllis,اسْم : نبات من النرجسيات يُسَمَّى الأمارِلّس
A Concise English- Arabic,amatorial,صِفَة : غراميّ
A Concise English- Arabic,amazement,اسْم : انذهال . انشداه
A Concise English- Arabic,amazementsEamazing,صِفَة : مُذْهِل . مُدْهِش
A Concise English- Arabic,amazingly,حال : بشَكْلٍ مُذْهِل
A Concise English- Arabic,ambassador,اسْم : سفير
A Concise English- Arabic,ambergris,اسْم : العَنْبَر وهو مادّة شمعيّة
A Concise English- Arabic,ambidexter,صِفَة : أَضْبَط . يَسْتَعْمِلُ كِلْتَا يَدَيْهِ بنَفْسِ المَهَارَة
A Concise English- Arabic,ambiguity,اسْم : غموض . التباس
